"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,Amager Øst - Villakvartererne,1758,842,916
,,,,Amager Øst - Nordøstamager,931,494,437
,,,,Amager Vest - Amagerbro Vest,958,446,512
,,,,Amager Vest - Bryggen Syd,404,230,174
,,,,Amager Vest - Faste Batteri,708,325,383
,,,,Amager Vest - Gamle Bryggen,774,387,387
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),692,294,398
,,,,Amager Vest - Kolonihavekvarteret,905,458,447
,,,,Amager Vest - Sundbyvester,1396,716,680
,,,,Amager Vest - Sundholmsvejs kvarteret,1674,751,923
,,,,Amager Vest - Urbanplanen,413,199,214
,,,,Amager Vest - Ørestad City,1414,723,691
,,,,Amager Vest - Ørestad Syd,1675,913,762
,,,Vocational education and training programs and short-cycle higher education programs,København in total,86955,49028,37927
,,,,district - inner city,5401,3008,2393
,,,,district - Østerbro,9061,4941,4120
,,,,district - Nørrebro,8446,4816,3630
,,,,district - Vesterbro/Kongens Enghave,9881,5780,4101
,,,,district - Valby,10361,5805,4556
,,,,district - Vanløse,6253,3566,2687
,,,,district - Brønshøj-Husum,6851,3752,3099
,,,,district - Bispebjerg,7893,4530,3363
,,,,district - Amager Øst,9827,5523,4304
,,,,district - Amager Vest,12460,6904,5556
,,,,local committee - inner city,4073,2246,1827
,,,,local committee - Christianshavn,1328,762,566
,,,,local committee - Østerbro,9061,4941,4120
,,,,local committee - Nørrebro,8446,4816,3630
,,,,local committee - Vesterbro,5004,2977,2027
,,,,local committee - Kgs. Enghave,4877,2803,2074
,,,,local committee - Valby,10361,5805,4556
,,,,local committee - Vanløse,6253,3566,2687
,,,,local committee - Brønshøj-Husum,6851,3752,3099
,,,,local committee - Bispebjerg,7893,4530,3363
,,,,local committee - Amager Øst,9827,5523,4304
,,,,local committee - Amager Vest,12460,6904,5556
,,,,inner city - Middelalderbyen,817,469,348
,,,,inner city - Metropolzonen,263,158,105
,,,,inner city - Nansensgade-kvarteret,622,363,259
