"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,local committee - Amager Øst,1313,590,723
,,,,local committee - Amager Vest,2266,1139,1127
,,,,inner city - Middelalderbyen,398,185,213
,,,,inner city - Metropolzonen,117,56,61
,,,,inner city - Nansensgade-kvarteret,143,61,82
,,,,inner city - Øster Farimagsgade-kvarteret,106,46,60
,,,,inner city - Østerport,75,..,..
,,,,inner city - Frederiksstaden,260,131,129
,,,,inner city - Gammelholm og Nyhavn,60,24,36
,,,,Christianshavn - Neden Vandet,94,46,48
,,,,Christianshavn - Oven Vandet,90,35,55
,,,,Christianshavn - Holmen og Refshaleøen,61,..,..
,,,,Østerbro - Nord/Komponistkvarteret,60,22,38
,,,,Østerbro - Svanemøllen Syd/Øst,225,116,109
,,,,Østerbro - yearshusgade Nord,206,104,102
,,,,Østerbro - yearshusgade Syd,177,76,101
,,,,Østerbro - Rosenvænget,160,68,92
,,,,Østerbro - Ny Ryvang,24,13,11
,,,,Østerbro - Nord,58,28,30
,,,,Østerbro - Nordhavn,256,127,129
,,,,Østerbro - Lyngbyvej Vest,121,54,67
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,182,85,97
,,,,Østerbro - Fælled,169,72,97
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,249,103,146
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,421,184,237
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,369,161,208
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,518,251,267
,,,,Nørrebro - Haraldsgade-kvarteret,206,94,112
,,,,Vesterbro - Vest,261,94,167
,,,,Vesterbro - Central,365,158,207
,,,,Vesterbro - Øst,201,94,107
,,,,Vesterbro - Syd,358,163,195
,,,,Kgs. Enghave - Bavnehøj,38,..,..
,,,,Kgs. Enghave - Gl. Sydhavn,253,117,136
,,,,Kgs. Enghave - Holmene,1132,553,579
,,,,Valby - Gl. Valby,222,101,121
,,,,Valby - Syd,509,236,273
,,,,Valby - Ålholm,73,24,49
,,,,Valby - Valby Sydvest,365,169,196
,,,,Valby - Vigerslev,46,23,23
,,,,Vanløse - Jyllingevej Kvarter,72,29,43
,,,,Vanløse - Jernbane Allé Kvarter,209,106,103
,,,,Vanløse - Sallingvej Kvarter,135,54,81
,,,,Vanløse - Grøndals Park Kvarter,42,..,..
,,,,Brønshøj-Husum - Husum,65,30,35
,,,,Brønshøj-Husum - Husum Nord,56,..,..
,,,,Brønshøj-Husum - Tingbjerg,32,..,..
,,,,Brønshøj-Husum - Brønshøj,90,..,..
,,,,Brønshøj-Husum - Bellahøj,23,12,11
,,,,Bispebjerg - Emdrup,30,15,15
,,,,Bispebjerg- Ryparken-Lundehus,153,65,88
,,,,Bispebjerg - Bispebjerg,39,20,19
,,,,Bispebjerg - Utterslev,71,29,42
,,,,Bispebjerg - Nordvest,1033,514,519
,,,,Amager Øst - Amagerbro Øst,418,177,241
,,,,Amager Øst - Sundbyøster,206,92,114
,,,,Amager Øst - Villakvartererne,168,70,98
,,,,Amager Øst - Nordøstamager,521,251,270
,,,,Amager Vest - Amagerbro Vest,114,46,68
,,,,Amager Vest - Bryggen Syd,139,66,73
,,,,Amager Vest - Faste Batteri,266,136,130
,,,,Amager Vest - Gamle Bryggen,117,56,61
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),109,59,50
,,,,Amager Vest - Kolonihavekvarteret,51,..,..
,,,,Amager Vest - Sundbyvester,100,51,49
,,,,Amager Vest - Sundholmsvejs kvarteret,207,101,106
,,,,Amager Vest - Urbanplanen,18,..,..
,,,,Amager Vest - Ørestad City,637,323,314
,,,,Amager Vest - Ørestad Syd,508,266,242
,,non-western ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,11398,6692,4706
,,,,district - inner city,310,168,142
,,,,district - Østerbro,719,411,308
,,,,district - Nørrebro,1620,939,681
,,,,district - Vesterbro/Kongens Enghave,1044,600,444
,,,,district - Valby,1382,806,576
,,,,district - Vanløse,555,323,232
,,,,district - Brønshøj-Husum,1730,1005,725
,,,,district - Bispebjerg,1370,792,578
,,,,district - Amager Øst,755,432,323
,,,,district - Amager Vest,1588,919,669
,,,,local committee - inner city,237,124,113
,,,,local committee - Christianshavn,73,44,29
,,,,local committee - Østerbro,719,411,308
,,,,local committee - Nørrebro,1620,939,681
,,,,local committee - Vesterbro,375,219,156
,,,,local committee - Kgs. Enghave,669,381,288
,,,,local committee - Valby,1382,806,576
,,,,local committee - Vanløse,555,323,232
,,,,local committee - Brønshøj-Husum,1730,1005,725
,,,,local committee - Bispebjerg,1370,792,578
,,,,local committee - Amager Øst,755,432,323
,,,,local committee - Amager Vest,1588,919,669
,,,,inner city - Middelalderbyen,54,36,18
,,,,inner city - Metropolzonen,40,19,21
,,,,inner city - Nansensgade-kvarteret,27,..,..
,,,,inner city - Øster Farimagsgade-kvarteret,35,13,22
,,,,inner city - Østerport,11,8,3
,,,,inner city - Frederiksstaden,55,30,25
,,,,inner city - Gammelholm og Nyhavn,15,7,8
,,,,Christianshavn - Neden Vandet,30,20,10
,,,,Christianshavn - Oven Vandet,29,15,14
,,,,Christianshavn - Holmen og Refshaleøen,14,..,..
,,,,Østerbro - Nord/Komponistkvarteret,13,..,..
,,,,Østerbro - Svanemøllen Syd/Øst,123,78,45
,,,,Østerbro - yearshusgade Nord,61,33,28
,,,,Østerbro - yearshusgade Syd,59,30,29
,,,,Østerbro - Rosenvænget,64,34,30
,,,,Østerbro - Ny Ryvang,125,78,47
,,,,Østerbro - Nord,38,15,23
,,,,Østerbro - Nordhavn,51,26,25
,,,,Østerbro - Lyngbyvej Vest,70,40,30
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,45,29,16
,,,,Østerbro - Fælled,70,38,32
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,359,235,124
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,354,202,152
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,199,105,94
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,372,219,153
,,,,Nørrebro - Haraldsgade-kvarteret,336,178,158
,,,,Vesterbro - Vest,117,67,50
,,,,Vesterbro - Central,155,97,58
,,,,Vesterbro - Øst,66,36,30
,,,,Vesterbro - Syd,37,..,..
,,,,Kgs. Enghave - Bavnehøj,72,44,28
,,,,Kgs. Enghave - Gl. Sydhavn,392,214,178
,,,,Kgs. Enghave - Holmene,205,123,82
,,,,Valby - Gl. Valby,154,81,73
,,,,Valby - Syd,443,255,188
,,,,Valby - Ålholm,156,98,58
,,,,Valby - Valby Sydvest,433,255,178
,,,,Valby - Vigerslev,196,117,79
,,,,Vanløse - Jyllingevej Kvarter,170,103,67
,,,,Vanløse - Jernbane Allé Kvarter,206,117,89
,,,,Vanløse - Sallingvej Kvarter,116,69,47
,,,,Vanløse - Grøndals Park Kvarter,63,34,29
,,,,Brønshøj-Husum - Husum,363,206,157
,,,,Brønshøj-Husum - Husum Nord,575,344,231
,,,,Brønshøj-Husum - Tingbjerg,475,269,206
,,,,Brønshøj-Husum - Brønshøj,56,36,20
,,,,Brønshøj-Husum - Bellahøj,261,150,111
,,,,Bispebjerg - Emdrup,77,42,35
,,,,Bispebjerg- Ryparken-Lundehus,210,120,90
,,,,Bispebjerg - Bispebjerg,154,87,67
,,,,Bispebjerg - Utterslev,179,110,69
,,,,Bispebjerg - Nordvest,750,433,317
,,,,Amager Øst - Amagerbro Øst,396,224,172
,,,,Amager Øst - Sundbyøster,114,70,44
,,,,Amager Øst - Villakvartererne,135,76,59
,,,,Amager Øst - Nordøstamager,110,62,48
,,,,Amager Vest - Amagerbro Vest,37,25,12
,,,,Amager Vest - Bryggen Syd,29,..,..
,,,,Amager Vest - Faste Batteri,30,12,18
,,,,Amager Vest - Gamle Bryggen,26,14,12
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),47,24,23
,,,,Amager Vest - Kolonihavekvarteret,100,58,42
,,,,Amager Vest - Sundbyvester,198,122,76
,,,,Amager Vest - Sundholmsvejs kvarteret,388,240,148
,,,,Amager Vest - Urbanplanen,204,123,81
,,,,Amager Vest - Ørestad City,275,141,134
,,,,Amager Vest - Ørestad Syd,254,140,114
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,7054,3308,3746
,,,,district - inner city,271,139,132
,,,,district - Østerbro,465,198,267
,,,,district - Nørrebro,976,443,533
,,,,district - Vesterbro/Kongens Enghave,668,328,340
,,,,district - Valby,807,383,424
,,,,district - Vanløse,346,175,171
,,,,district - Brønshøj-Husum,928,414,514
,,,,district - Bispebjerg,880,412,468
,,,,district - Amager Øst,507,220,287
,,,,district - Amager Vest,1138,558,580
,,,,local committee - inner city,214,106,108
,,,,local committee - Christianshavn,57,33,24
,,,,local committee - Østerbro,465,198,267
,,,,local committee - Nørrebro,976,443,533
,,,,local committee - Vesterbro,266,127,139
,,,,local committee - Kgs. Enghave,402,201,201
,,,,local committee - Valby,807,383,424
,,,,local committee - Vanløse,346,175,171
,,,,local committee - Brønshøj-Husum,928,414,514
,,,,local committee - Bispebjerg,880,412,468
,,,,local committee - Amager Øst,507,220,287
,,,,local committee - Amager Vest,1138,558,580
,,,,inner city - Middelalderbyen,52,27,25
,,,,inner city - Metropolzonen,18,..,..
,,,,inner city - Nansensgade-kvarteret,32,14,18
,,,,inner city - Øster Farimagsgade-kvarteret,17,7,10
,,,,inner city - Østerport,16,..,..
,,,,inner city - Frederiksstaden,66,32,34
,,,,inner city - Gammelholm og Nyhavn,13,..,..
,,,,Christianshavn - Neden Vandet,15,..,..
,,,,Christianshavn - Oven Vandet,18,11,7
,,,,Christianshavn - Holmen og Refshaleøen,24,..,..
,,,,Østerbro - Nord/Komponistkvarteret,..,..,..
,,,,Østerbro - Svanemøllen Syd/Øst,92,43,49
,,,,Østerbro - yearshusgade Nord,31,10,21
,,,,Østerbro - yearshusgade Syd,29,15,14
,,,,Østerbro - Rosenvænget,34,12,22
,,,,Østerbro - Ny Ryvang,57,..,..
,,,,Østerbro - Nord,..,6,..
,,,,Østerbro - Nordhavn,40,..,..
,,,,Østerbro - Lyngbyvej Vest,59,..,..
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,45,23,22
,,,,Østerbro - Fælled,49,21,28
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,192,100,92
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,155,61,94
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,148,61,87
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,239,112,127
,,,,Nørrebro - Haraldsgade-kvarteret,242,109,133
,,,,Vesterbro - Vest,84,..,..
,,,,Vesterbro - Central,110,47,63
,,,,Vesterbro - Øst,41,24,17
,,,,Vesterbro - Syd,31,16,15
,,,,Kgs. Enghave - Bavnehøj,58,25,33
,,,,Kgs. Enghave - Gl. Sydhavn,212,103,109
,,,,Kgs. Enghave - Holmene,132,73,59
,,,,Valby - Gl. Valby,90,43,47
,,,,Valby - Syd,242,117,125
,,,,Valby - Ålholm,100,47,53
,,,,Valby - Valby Sydvest,250,113,137
,,,,Valby - Vigerslev,125,63,62
,,,,Vanløse - Jyllingevej Kvarter,95,48,47
,,,,Vanløse - Jernbane Allé Kvarter,140,75,65
,,,,Vanløse - Sallingvej Kvarter,75,..,..
,,,,Vanløse - Grøndals Park Kvarter,36,12,24
,,,,Brønshøj-Husum - Husum,172,81,91
,,,,Brønshøj-Husum - Husum Nord,321,145,176
,,,,Brønshøj-Husum - Tingbjerg,251,100,151
,,,,Brønshøj-Husum - Brønshøj,51,..,..
,,,,Brønshøj-Husum - Bellahøj,133,..,..
,,,,Bispebjerg - Emdrup,55,30,25
,,,,Bispebjerg- Ryparken-Lundehus,125,..,..
,,,,Bispebjerg - Bispebjerg,80,33,47
,,,,Bispebjerg - Utterslev,113,51,62
,,,,Bispebjerg - Nordvest,507,246,261
,,,,Amager Øst - Amagerbro Øst,261,113,148
,,,,Amager Øst - Sundbyøster,97,..,..
,,,,Amager Øst - Villakvartererne,101,40,61
,,,,Amager Øst - Nordøstamager,48,23,25
,,,,Amager Vest - Amagerbro Vest,40,20,20
,,,,Amager Vest - Bryggen Syd,17,10,7
,,,,Amager Vest - Faste Batteri,47,..,..
,,,,Amager Vest - Gamle Bryggen,26,13,13
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),66,24,42
,,,,Amager Vest - Kolonihavekvarteret,121,59,62
,,,,Amager Vest - Sundbyvester,134,64,70
,,,,Amager Vest - Sundholmsvejs kvarteret,253,127,126
,,,,Amager Vest - Urbanplanen,109,..,..
,,,,Amager Vest - Ørestad City,154,71,83
,,,,Amager Vest - Ørestad Syd,171,97,74
,,,Vocational education and training programs and short-cycle higher education programs,København in total,5031,2653,2378
,,,,district - inner city,159,80,79
,,,,district - Østerbro,281,141,140
,,,,district - Nørrebro,452,254,198
,,,,district - Vesterbro/Kongens Enghave,425,221,204
,,,,district - Valby,865,480,385
,,,,district - Vanløse,271,156,115
,,,,district - Brønshøj-Husum,936,484,452
,,,,district - Bispebjerg,565,288,277
,,,,district - Amager Øst,370,191,179
,,,,district - Amager Vest,650,324,326
,,,,local committee - inner city,129,62,67
,,,,local committee - Christianshavn,30,18,12
,,,,local committee - Østerbro,281,141,140
,,,,local committee - Nørrebro,452,254,198
,,,,local committee - Vesterbro,164,76,88
,,,,local committee - Kgs. Enghave,261,145,116
,,,,local committee - Valby,865,480,385
,,,,local committee - Vanløse,271,156,115
,,,,local committee - Brønshøj-Husum,936,484,452
,,,,local committee - Bispebjerg,565,288,277
,,,,local committee - Amager Øst,370,191,179
,,,,local committee - Amager Vest,650,324,326
,,,,inner city - Middelalderbyen,45,29,16
,,,,inner city - Metropolzonen,14,..,..
,,,,inner city - Nansensgade-kvarteret,14,..,..
,,,,inner city - Øster Farimagsgade-kvarteret,14,7,7
,,,,inner city - Østerport,6,0,6
,,,,inner city - Frederiksstaden,28,8,20
,,,,inner city - Gammelholm og Nyhavn,8,..,..
,,,,Christianshavn - Neden Vandet,16,..,..
,,,,Christianshavn - Oven Vandet,10,5,5
,,,,Christianshavn - Holmen og Refshaleøen,4,4,0
,,,,Østerbro - Nord/Komponistkvarteret,..,..,..
,,,,Østerbro - Svanemøllen Syd/Øst,45,24,21
,,,,Østerbro - yearshusgade Nord,30,13,17
,,,,Østerbro - yearshusgade Syd,24,13,11
,,,,Østerbro - Rosenvænget,20,13,7
,,,,Østerbro - Ny Ryvang,47,..,..
,,,,Østerbro - Nord,..,..,..
,,,,Østerbro - Nordhavn,12,..,..
,,,,Østerbro - Lyngbyvej Vest,41,..,..
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,16,11,5
,,,,Østerbro - Fælled,20,8,12
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,106,56,50
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,76,36,40
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,71,45,26
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,109,63,46
,,,,Nørrebro - Haraldsgade-kvarteret,90,54,36
,,,,Vesterbro - Vest,49,..,..
,,,,Vesterbro - Central,66,27,39
,,,,Vesterbro - Øst,25,17,8
,,,,Vesterbro - Syd,24,..,..
,,,,Kgs. Enghave - Bavnehøj,21,..,..
,,,,Kgs. Enghave - Gl. Sydhavn,132,67,65
,,,,Kgs. Enghave - Holmene,108,63,45
,,,,Valby - Gl. Valby,69,36,33
,,,,Valby - Syd,194,105,89
,,,,Valby - Ålholm,67,37,30
,,,,Valby - Valby Sydvest,321,181,140
,,,,Valby - Vigerslev,214,121,93
,,,,Vanløse - Jyllingevej Kvarter,91,56,35
,,,,Vanløse - Jernbane Allé Kvarter,120,65,55
,,,,Vanløse - Sallingvej Kvarter,39,..,..
,,,,Vanløse - Grøndals Park Kvarter,21,..,..
,,,,Brønshøj-Husum - Husum,298,165,133
,,,,Brønshøj-Husum - Husum Nord,303,151,152
,,,,Brønshøj-Husum - Tingbjerg,183,94,89
,,,,Brønshøj-Husum - Brønshøj,58,28,30
,,,,Brønshøj-Husum - Bellahøj,94,..,..
,,,,Bispebjerg - Emdrup,29,16,13
,,,,Bispebjerg- Ryparken-Lundehus,56,..,..
,,,,Bispebjerg - Bispebjerg,64,38,26
,,,,Bispebjerg - Utterslev,84,42,42
,,,,Bispebjerg - Nordvest,332,164,168
,,,,Amager Øst - Amagerbro Øst,156,86,70
,,,,Amager Øst - Sundbyøster,80,..,..
,,,,Amager Øst - Villakvartererne,86,41,45
,,,,Amager Øst - Nordøstamager,48,26,22
,,,,Amager Vest - Amagerbro Vest,19,7,12
,,,,Amager Vest - Bryggen Syd,7,..,..
,,,,Amager Vest - Faste Batteri,11,..,..
,,,,Amager Vest - Gamle Bryggen,21,13,8
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),21,8,13
,,,,Amager Vest - Kolonihavekvarteret,36,..,..
,,,,Amager Vest - Sundbyvester,83,43,40
,,,,Amager Vest - Sundholmsvejs kvarteret,114,53,61
,,,,Amager Vest - Urbanplanen,53,26,27
,,,,Amager Vest - Ørestad City,145,69,76
,,,,Amager Vest - Ørestad Syd,140,79,61
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,11027,4741,6286
,,,,district - inner city,613,247,366
,,,,district - Østerbro,809,353,456
,,,,district - Nørrebro,1004,420,584
,,,,district - Vesterbro/Kongens Enghave,1228,542,686
,,,,district - Valby,1427,646,781
,,,,district - Vanløse,486,207,279
,,,,district - Brønshøj-Husum,1100,465,635
,,,,district - Bispebjerg,1106,461,645
,,,,district - Amager Øst,902,410,492
,,,,district - Amager Vest,2212,928,1284
,,,,local committee - inner city,505,195,310
,,,,local committee - Christianshavn,108,52,56
,,,,local committee - Østerbro,809,353,456
,,,,local committee - Nørrebro,1004,420,584
,,,,local committee - Vesterbro,502,220,282
,,,,local committee - Kgs. Enghave,726,322,404
,,,,local committee - Valby,1427,646,781
,,,,local committee - Vanløse,486,207,279
,,,,local committee - Brønshøj-Husum,1100,465,635
,,,,local committee - Bispebjerg,1106,461,645
,,,,local committee - Amager Øst,902,410,492
,,,,local committee - Amager Vest,2212,928,1284
,,,,inner city - Middelalderbyen,139,64,75
,,,,inner city - Metropolzonen,58,24,34
,,,,inner city - Nansensgade-kvarteret,50,23,27
,,,,inner city - Øster Farimagsgade-kvarteret,56,18,38
,,,,inner city - Østerport,37,..,..
,,,,inner city - Frederiksstaden,131,35,96
,,,,inner city - Gammelholm og Nyhavn,34,17,17
,,,,Christianshavn - Neden Vandet,29,16,13
,,,,Christianshavn - Oven Vandet,49,18,31
,,,,Christianshavn - Holmen og Refshaleøen,30,18,12
,,,,Østerbro - Nord/Komponistkvarteret,17,6,11
,,,,Østerbro - Svanemøllen Syd/Øst,129,59,70
,,,,Østerbro - yearshusgade Nord,75,28,47
,,,,Østerbro - yearshusgade Syd,84,45,39
,,,,Østerbro - Rosenvænget,75,39,36
,,,,Østerbro - Ny Ryvang,50,..,..
,,,,Østerbro - Nord,50,..,..
,,,,Østerbro - Nordhavn,88,32,56
,,,,Østerbro - Lyngbyvej Vest,113,43,70
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,63,32,31
,,,,Østerbro - Fælled,65,34,31
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,199,81,118
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,202,85,117
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,161,67,94
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,256,114,142
,,,,Nørrebro - Haraldsgade-kvarteret,186,73,113
,,,,Vesterbro - Vest,114,50,64
,,,,Vesterbro - Central,160,68,92
,,,,Vesterbro - Øst,99,43,56
,,,,Vesterbro - Syd,129,59,70
,,,,Kgs. Enghave - Bavnehøj,46,18,28
,,,,Kgs. Enghave - Gl. Sydhavn,249,103,146
,,,,Kgs. Enghave - Holmene,431,201,230
,,,,Valby - Gl. Valby,142,54,88
,,,,Valby - Syd,374,172,202
,,,,Valby - Ålholm,102,40,62
,,,,Valby - Valby Sydvest,566,268,298
,,,,Valby - Vigerslev,243,112,131
,,,,Vanløse - Jyllingevej Kvarter,154,64,90
,,,,Vanløse - Jernbane Allé Kvarter,184,78,106
,,,,Vanløse - Sallingvej Kvarter,97,47,50
,,,,Vanløse - Grøndals Park Kvarter,51,18,33
,,,,Brønshøj-Husum - Husum,280,126,154
,,,,Brønshøj-Husum - Husum Nord,325,129,196
,,,,Brønshøj-Husum - Tingbjerg,277,110,167
,,,,Brønshøj-Husum - Brønshøj,87,44,43
,,,,Brønshøj-Husum - Bellahøj,131,56,75
,,,,Bispebjerg - Emdrup,44,14,30
,,,,Bispebjerg- Ryparken-Lundehus,123,40,83
,,,,Bispebjerg - Bispebjerg,101,45,56
,,,,Bispebjerg - Utterslev,154,63,91
,,,,Bispebjerg - Nordvest,684,299,385
,,,,Amager Øst - Amagerbro Øst,329,148,181
,,,,Amager Øst - Sundbyøster,149,67,82
,,,,Amager Øst - Villakvartererne,230,104,126
,,,,Amager Øst - Nordøstamager,194,91,103
,,,,Amager Vest - Amagerbro Vest,55,22,33
,,,,Amager Vest - Bryggen Syd,40,14,26
,,,,Amager Vest - Faste Batteri,141,68,73
,,,,Amager Vest - Gamle Bryggen,46,21,25
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),117,53,64
,,,,Amager Vest - Kolonihavekvarteret,256,101,155
,,,,Amager Vest - Sundbyvester,190,91,99
,,,,Amager Vest - Sundholmsvejs kvarteret,280,115,165
,,,,Amager Vest - Urbanplanen,81,36,45
,,,,Amager Vest - Ørestad City,540,219,321
,,,,Amager Vest - Ørestad Syd,466,188,278
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,7329,3173,4156
,,,,district - inner city,406,185,221
,,,,district - Østerbro,763,333,430
,,,,district - Nørrebro,732,295,437
,,,,district - Vesterbro/Kongens Enghave,1050,433,617
,,,,district - Valby,853,367,486
,,,,district - Vanløse,361,155,206
,,,,district - Brønshøj-Husum,412,192,220
,,,,district - Bispebjerg,746,332,414
,,,,district - Amager Øst,646,285,361
,,,,district - Amager Vest,1311,568,743
,,,,local committee - inner city,330,157,173
,,,,local committee - Christianshavn,76,28,48
,,,,local committee - Østerbro,763,333,430
,,,,local committee - Nørrebro,732,295,437
,,,,local committee - Vesterbro,428,174,254
,,,,local committee - Kgs. Enghave,622,259,363
,,,,local committee - Valby,853,367,486
,,,,local committee - Vanløse,361,155,206
,,,,local committee - Brønshøj-Husum,412,192,220
,,,,local committee - Bispebjerg,746,332,414
,,,,local committee - Amager Øst,646,285,361
,,,,local committee - Amager Vest,1311,568,743
,,,,inner city - Middelalderbyen,67,31,36
,,,,inner city - Metropolzonen,25,14,11
,,,,inner city - Nansensgade-kvarteret,43,20,23
,,,,inner city - Øster Farimagsgade-kvarteret,44,21,23
,,,,inner city - Østerport,31,..,..
,,,,inner city - Frederiksstaden,102,48,54
,,,,inner city - Gammelholm og Nyhavn,18,7,11
,,,,Christianshavn - Neden Vandet,21,6,15
,,,,Christianshavn - Oven Vandet,36,17,19
,,,,Christianshavn - Holmen og Refshaleøen,19,..,..
,,,,Østerbro - Nord/Komponistkvarteret,28,16,12
,,,,Østerbro - Svanemøllen Syd/Øst,120,57,63
,,,,Østerbro - yearshusgade Nord,72,26,46
,,,,Østerbro - yearshusgade Syd,74,29,45
,,,,Østerbro - Rosenvænget,52,23,29
,,,,Østerbro - Ny Ryvang,52,26,26
,,,,Østerbro - Nord,45,20,25
,,,,Østerbro - Nordhavn,104,44,60
,,,,Østerbro - Lyngbyvej Vest,73,29,44
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,85,39,46
,,,,Østerbro - Fælled,58,24,34
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,129,47,82
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,135,48,87
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,143,55,88
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,208,101,107
,,,,Nørrebro - Haraldsgade-kvarteret,117,44,73
,,,,Vesterbro - Vest,124,46,78
,,,,Vesterbro - Central,112,42,70
,,,,Vesterbro - Øst,60,25,35
,,,,Vesterbro - Syd,132,61,71
,,,,Kgs. Enghave - Bavnehøj,46,..,..
,,,,Kgs. Enghave - Gl. Sydhavn,175,66,109
,,,,Kgs. Enghave - Holmene,401,177,224
,,,,Valby - Gl. Valby,92,36,56
,,,,Valby - Syd,320,132,188
,,,,Valby - Ålholm,82,38,44
,,,,Valby - Valby Sydvest,271,127,144
,,,,Valby - Vigerslev,88,34,54
,,,,Vanløse - Jyllingevej Kvarter,77,34,43
,,,,Vanløse - Jernbane Allé Kvarter,148,64,84
,,,,Vanløse - Sallingvej Kvarter,100,43,57
,,,,Vanløse - Grøndals Park Kvarter,36,..,..
,,,,Brønshøj-Husum - Husum,99,46,53
,,,,Brønshøj-Husum - Husum Nord,134,67,67
,,,,Brønshøj-Husum - Tingbjerg,90,42,48
,,,,Brønshøj-Husum - Brønshøj,47,..,..
,,,,Brønshøj-Husum - Bellahøj,42,12,30
,,,,Bispebjerg - Emdrup,43,21,22
,,,,Bispebjerg- Ryparken-Lundehus,82,42,40
,,,,Bispebjerg - Bispebjerg,49,22,27
,,,,Bispebjerg - Utterslev,74,26,48
,,,,Bispebjerg - Nordvest,498,221,277
,,,,Amager Øst - Amagerbro Øst,228,92,136
,,,,Amager Øst - Sundbyøster,84,39,45
,,,,Amager Øst - Villakvartererne,156,78,78
,,,,Amager Øst - Nordøstamager,178,76,102
,,,,Amager Vest - Amagerbro Vest,34,17,17
,,,,Amager Vest - Bryggen Syd,55,26,29
,,,,Amager Vest - Faste Batteri,95,48,47
,,,,Amager Vest - Gamle Bryggen,42,23,19
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),60,25,35
,,,,Amager Vest - Kolonihavekvarteret,37,..,..
,,,,Amager Vest - Sundbyvester,78,34,44
,,,,Amager Vest - Sundholmsvejs kvarteret,139,51,88
,,,,Amager Vest - Urbanplanen,37,..,..
,,,,Amager Vest - Ørestad City,391,179,212
,,,,Amager Vest - Ørestad Syd,343,138,205
,35-54 years,Ethnicity in total,"Primary and lower secondary school, and unspecified etc.",København in total,21936,12798,9138
,,,,district - inner city,1220,740,480
,,,,district - Østerbro,1826,1077,749
,,,,district - Nørrebro,2494,1350,1144
,,,,district - Vesterbro/Kongens Enghave,2756,1681,1075
,,,,district - Valby,2316,1366,950
,,,,district - Vanløse,1123,662,461
,,,,district - Brønshøj-Husum,2108,1148,960
,,,,district - Bispebjerg,2634,1559,1075
,,,,district - Amager Øst,1943,1096,847
,,,,district - Amager Vest,2985,1671,1314
,,,,local committee - inner city,880,537,343
,,,,local committee - Christianshavn,340,203,137
,,,,local committee - Østerbro,1826,1077,749
,,,,local committee - Nørrebro,2494,1350,1144
,,,,local committee - Vesterbro,1254,776,478
,,,,local committee - Kgs. Enghave,1502,905,597
,,,,local committee - Valby,2316,1366,950
,,,,local committee - Vanløse,1123,662,461
,,,,local committee - Brønshøj-Husum,2108,1148,960
,,,,local committee - Bispebjerg,2634,1559,1075
,,,,local committee - Amager Øst,1943,1096,847
,,,,local committee - Amager Vest,2985,1671,1314
,,,,inner city - Middelalderbyen,174,105,69
