Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Bydel - Vanløse;429366;468442;389911
;;;Bydel - Brønshøj-Husum;398683;431985;363150
;;;Bydel - Bispebjerg;354720;383819;325702
;;;Bydel - Amager Øst;417236;463671;371113
;;;Bydel - Amager Vest;437865;490742;383338
;;;Bydel - Uden for inddeling;290246;280051;312842
;;;Lokaludvalg - Indre By;526807;635059;419314
;;;Lokaludvalg - Christianshavn;464343;535815;395856
;;;Lokaludvalg - Østerbro;486832;553392;423025
;;;Lokaludvalg - Nørrebro;358833;388795;331559
;;;Lokaludvalg - Vesterbro;470473;526687;416127
;;;Lokaludvalg - Kgs. Enghave;418188;464534;369146
;;;Lokaludvalg - Valby;408158;443756;371253
;;;Lokaludvalg - Vanløse;429366;468442;389911
;;;Lokaludvalg - Brønshøj-Husum;398683;431985;363150
;;;Lokaludvalg - Bispebjerg;354720;383819;325702
;;;Lokaludvalg - Amager Øst;417236;463671;371113
;;;Lokaludvalg - Amager Vest;437865;490742;383338
;;;Lokaludvalg - Uden for inddeling;290246;280051;312842
;;;Indre By - Middelalderbyen;485336;572671;395459
;;;Indre By - Metropolzonen;553229;696107;404530
;;;Indre By - Nansensgade-kvarteret;453516;512548;396557
;;;Indre By - Øster Farimagsgade-kvarteret;563705;676010;459837
;;;Indre By - Østerport;620896;772819;470865
;;;Indre By - Frederiksstaden;542054;660988;418522
;;;Indre By - Gammelholm og Nyhavn;525598;669700;389254
;;;Christianshavn - Neden Vandet;549035;642136;453339
;;;Christianshavn - Oven Vandet;383153;419275;350140
;;;Christianshavn - Holmen og Refshaleøen;547413;657693;438493
;;;Østerbro - Nord/Komponistkvarteret;512296;598073;435992
;;;Østerbro - Svanemøllen Syd/Øst;398894;431604;366052
;;;Østerbro - Århusgade Nord;428341;457752;400924
;;;Østerbro - Århusgade Syd;476675;536985;420023
;;;Østerbro - Rosenvænget;478479;524913;434909
;;;Østerbro - Ny Ryvang;349935;383919;312951
;;;Østerbro - Nord;699183;866251;540439
;;;Østerbro - Nordhavn;827188;1020077;617611
;;;Østerbro - Lyngbyvej Vest;423335;473296;375638
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;417471;463239;373180
;;;Østerbro - Fælled;455527;507397;409206
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;383586;423763;346265
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;359865;390013;332750
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;371487;400082;345851
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;348952;376097;323452
;;;Nørrebro - Haraldsgade-kvarteret;316116;337811;297027
;;;Vesterbro - Vest;516967;581887;455799
;;;Vesterbro - Central;419078;459900;381212
;;;Vesterbro - Øst;440480;491447;389896
;;;Vesterbro - Syd;648016;736952;541371
;;;Kgs. Enghave - Bavnehøj;289291;308452;270560
;;;Kgs. Enghave - Gl. Sydhavn;325901;352300;299749
;;;Kgs. Enghave - Holmene;514073;573566;446832
;;;Valby - Gl. Valby;418117;458634;378495
;;;Valby - Syd;412849;449256;375407
;;;Valby - Ålholm;435328;473392;395772
;;;Valby - Valby Sydvest;389698;423178;353965
;;;Valby - Vigerslev;376490;404116;345774
;;;Vanløse - Jyllingevej Kvarter;476948;521436;431461
;;;Vanløse - Jernbane Allé Kvarter;401229;436636;365312
;;;Vanløse - Sallingvej Kvarter;425984;462348;389020
;;;Vanløse - Grøndals Park Kvarter;411366;453222;371281
;;;Brønshøj-Husum - Husum;431931;465753;394514
;;;Brønshøj-Husum - Husum Nord;321422;342392;298262
;;;Brønshøj-Husum - Tingbjerg;276032;300166;250400
;;;Brønshøj-Husum - Brønshøj;482313;533542;431326
;;;Brønshøj-Husum - Bellahøj;313374;337669;287811
;;;Bispebjerg - Emdrup;413094;450718;372769
;;;Bispebjerg- Ryparken-Lundehus;382723;423276;343136
;;;Bispebjerg - Bispebjerg;367133;398486;335746
;;;Bispebjerg - Utterslev;361768;382381;340726
;;;Bispebjerg - Nordvest;340049;366965;313448
;;;Amager Øst - Amagerbro Øst;359425;391861;328370
;;;Amager Øst - Sundbyøster;403308;443040;363753
;;;Amager Øst - Villakvartererne;451719;507115;395773
;;;Amager Øst - Nordøstamager;530186;599854;456461
;;;Amager Vest - Amagerbro Vest;397016;439526;358165
;;;Amager Vest - Bryggen Syd;771766;910818;617300
;;;Amager Vest - Faste Batteri;482519;543860;418362
;;;Amager Vest - Gamle Bryggen;463597;512964;416594
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);376470;436317;321131
;;;Amager Vest - Kolonihavekvarteret;364995;393918;334699
;;;Amager Vest - Sundbyvester;439277;488568;389346
;;;Amager Vest - Sundholmsvejs kvarteret;327096;350252;304844
;;;Amager Vest - Urbanplanen;315205;333958;296532
;;;Amager Vest - Ørestad City;445837;499199;383835
;;;Amager Vest - Ørestad Syd;456916;510330;397062
;;Disponsible income;København i alt;300260;329330;272547
;;;Bydel - Indre By;389913;454436;329683
;;;Bydel - Østerbro;343403;385344;305403
;;;Bydel - Nørrebro;253793;270519;238931
;;;Bydel - Vesterbro/Kongens Enghave;305993;337405;275189
;;;Bydel - Valby;287217;309527;265367
;;;Bydel - Vanløse;303034;326258;280835
;;;Bydel - Brønshøj-Husum;277840;296339;259678
;;;Bydel - Bispebjerg;248618;262187;235391
;;;Bydel - Amager Øst;292953;321056;266457
;;;Bydel - Amager Vest;300408;331995;269515
;;;Bydel - Uden for inddeling;159699;151205;181455
;;;Lokaludvalg - Indre By;399615;470446;333197
;;;Lokaludvalg - Christianshavn;358430;401964;318382
;;;Lokaludvalg - Østerbro;343403;385344;305403
;;;Lokaludvalg - Nørrebro;253793;270519;238931
;;;Lokaludvalg - Vesterbro;323133;360029;287883
;;;Lokaludvalg - Kgs. Enghave;282792;307713;257475
;;;Lokaludvalg - Valby;287217;309527;265367
;;;Lokaludvalg - Vanløse;303034;326258;280835
;;;Lokaludvalg - Brønshøj-Husum;277840;296339;259678
;;;Lokaludvalg - Bispebjerg;248618;262187;235391
;;;Lokaludvalg - Amager Øst;292953;321056;266457
;;;Lokaludvalg - Amager Vest;300408;331995;269515
;;;Lokaludvalg - Uden for inddeling;159699;151205;181455
;;;Indre By - Middelalderbyen;360711;419938;301922
;;;Indre By - Metropolzonen;403894;482156;326873
;;;Indre By - Nansensgade-kvarteret;311169;344372;280229
;;;Indre By - Øster Farimagsgade-kvarteret;436529;537595;347455
;;;Indre By - Østerport;472950;579370;376998
;;;Indre By - Frederiksstaden;432211;494935;372963
;;;Indre By - Gammelholm og Nyhavn;398487;491454;312542
;;;Christianshavn - Neden Vandet;468038;539808;399286
;;;Christianshavn - Oven Vandet;284140;299334;270600
;;;Christianshavn - Holmen og Refshaleøen;406952;474932;342702
;;;Østerbro - Nord/Komponistkvarteret;381520;432602;336859
;;;Østerbro - Svanemøllen Syd/Øst;273909;291781;257343
;;;Østerbro - Århusgade Nord;301125;314948;288528
;;;Østerbro - Århusgade Syd;332584;369380;299264
;;;Østerbro - Rosenvænget;352507;402634;307310
;;;Østerbro - Ny Ryvang;241051;256350;226366
;;;Østerbro - Nord;556814;659412;475844
;;;Østerbro - Nordhavn;567481;703800;426232
;;;Østerbro - Lyngbyvej Vest;287184;310369;265496
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;285346;311614;261089
;;;Østerbro - Fælled;311713;342392;286259
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;269862;294337;247949
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;257966;277562;240847
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;257901;271785;245616
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;248031;262024;235153
;;;Nørrebro - Haraldsgade-kvarteret;225896;235428;217671
;;;Vesterbro - Vest;358459;406412;314058
;;;Vesterbro - Central;286106;308567;265310
;;;Vesterbro - Øst;297639;324674;270913
;;;Vesterbro - Syd;457005;535861;367205
;;;Kgs. Enghave - Bavnehøj;213624;221372;205958
;;;Kgs. Enghave - Gl. Sydhavn;233281;244110;223020
;;;Kgs. Enghave - Holmene;345617;382879;305029
;;;Valby - Gl. Valby;316210;355254;279672
;;;Valby - Syd;281204;300540;262469
;;;Valby - Ålholm;304317;326552;282700
;;;Valby - Valby Sydvest;273503;290893;255980
;;;Valby - Vigerslev;257958;273033;242213
;;;Vanløse - Jyllingevej Kvarter;341883;371419;313186
;;;Vanløse - Jernbane Allé Kvarter;284027;304567;264713
;;;Vanløse - Sallingvej Kvarter;296265;317405;275862
;;;Vanløse - Grøndals Park Kvarter;283718;303156;265286
;;;Brønshøj-Husum - Husum;302095;323774;279944
;;;Brønshøj-Husum - Husum Nord;226233;235015;217623
;;;Brønshøj-Husum - Tingbjerg;201146;212216;191009
;;;Brønshøj-Husum - Brønshøj;342269;369014;316663
;;;Brønshøj-Husum - Bellahøj;216367;227083;205885
;;;Bispebjerg - Emdrup;292434;313373;270870
;;;Bispebjerg- Ryparken-Lundehus;263884;282025;247025
;;;Bispebjerg - Bispebjerg;256498;270901;242664
;;;Bispebjerg - Utterslev;248885;261956;236686
;;;Bispebjerg - Nordvest;238282;249909;226800
;;;Amager Øst - Amagerbro Øst;252129;269042;236576
;;;Amager Øst - Sundbyøster;282783;306477;260768
;;;Amager Øst - Villakvartererne;323947;360392;288907
;;;Amager Øst - Nordøstamager;366394;412191;320657
;;;Amager Vest - Amagerbro Vest;278160;301815;257208
;;;Amager Vest - Bryggen Syd;545991;655945;429899
;;;Amager Vest - Faste Batteri;342030;381870;302737
;;;Amager Vest - Gamle Bryggen;309858;338914;282984
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);278786;309602;250223
;;;Amager Vest - Kolonihavekvarteret;268643;281010;256070
;;;Amager Vest - Sundbyvester;309691;338384;282292
;;;Amager Vest - Sundholmsvejs kvarteret;227517;236963;218824
;;;Amager Vest - Urbanplanen;217224;222798;212271
;;;Amager Vest - Ørestad City;299432;333496;262108
;;;Amager Vest - Ørestad Syd;304224;337092;269540
;;Total personal income (excluding imputed rental value of owner-occupied housing and before deduction of interest expenses) i alt (ekskl. beregnet lejeværdi af egen bolig og før fradrag af renteudgifter);København i alt;441513;493694;391801
;;;Bydel - Indre By;581974;696993;474685
;;;Bydel - Østerbro;511847;587918;442936
;;;Bydel - Nørrebro;375472;405568;348753
;;;Bydel - Vesterbro/Kongens Enghave;459533;514137;406021
;;;Bydel - Valby;418442;458905;378816
;;;Bydel - Vanløse;435360;478230;394403
;;;Bydel - Brønshøj-Husum;392116;427173;357727
;;;Bydel - Bispebjerg;361680;386497;337507
;;;Bydel - Amager Øst;425147;474653;378485
;;;Bydel - Amager Vest;440468;496036;386126
;;;Bydel - Uden for inddeling;231926;222805;254921
;;;Lokaludvalg - Indre By;596329;719618;480775
;;;Lokaludvalg - Christianshavn;535427;622853;455128
;;;Lokaludvalg - Østerbro;511847;587918;442936
;;;Lokaludvalg - Nørrebro;375472;405568;348753
;;;Lokaludvalg - Vesterbro;491295;554861;430618
;;;Lokaludvalg - Kgs. Enghave;416545;460713;371694
;;;Lokaludvalg - Valby;418442;458905;378816
;;;Lokaludvalg - Vanløse;435360;478230;394403
;;;Lokaludvalg - Brønshøj-Husum;392116;427173;357727
;;;Lokaludvalg - Bispebjerg;361680;386497;337507
;;;Lokaludvalg - Amager Øst;425147;474653;378485
;;;Lokaludvalg - Amager Vest;440468;496036;386126
;;;Lokaludvalg - Uden for inddeling;231926;222805;254921
;;;Indre By - Middelalderbyen;531468;626315;437349
;;;Indre By - Metropolzonen;593984;730904;460151
;;;Indre By - Nansensgade-kvarteret;472813;534919;414986
;;;Indre By - Øster Farimagsgade-kvarteret;637662;814238;482072
;;;Indre By - Østerport;705445;908137;522703
;;;Indre By - Frederiksstaden;656750;761820;557355
;;;Indre By - Gammelholm og Nyhavn;596767;757533;448377
;;;Christianshavn - Neden Vandet;697670;833187;568344
;;;Christianshavn - Oven Vandet;413081;448284;381727
;;;Christianshavn - Holmen og Refshaleøen;633535;771609;503242
;;;Østerbro - Nord/Komponistkvarteret;540973;628116;464791
;;;Østerbro - Svanemøllen Syd/Øst;407369;440486;376649
;;;Østerbro - Århusgade Nord;448440;475855;423453
;;;Østerbro - Århusgade Syd;497019;562388;437878
;;;Østerbro - Rosenvænget;522918;611326;443292
;;;Østerbro - Ny Ryvang;343747;370930;317656
;;;Østerbro - Nord;830995;1030228;674131
;;;Østerbro - Nordhavn;879447;1125868;623899
;;;Østerbro - Lyngbyvej Vest;418239;458806;380261
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;426001;472177;383345
;;;Østerbro - Fælled;466023;520072;421185
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;401007;446876;360003
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;382050;417586;351025
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;385177;409585;363603
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;364570;388686;342393
;;;Nørrebro - Haraldsgade-kvarteret;328758;345747;314105
;;;Vesterbro - Vest;543137;624344;467922
;;;Vesterbro - Central;434721;474509;397910
;;;Vesterbro - Øst;451718;500199;403957
;;;Vesterbro - Syd;702224;834974;551094
;;;Kgs. Enghave - Bavnehøj;306858;319867;293996
;;;Kgs. Enghave - Gl. Sydhavn;332610;352817;313484
;;;Kgs. Enghave - Holmene;521102;586792;449528
;;;Valby - Gl. Valby;464657;531905;401767
;;;Valby - Syd;412596;448419;377855
;;;Valby - Ålholm;436001;476120;396978
;;;Valby - Valby Sydvest;398360;431509;365016
;;;Valby - Vigerslev;370483;398210;341502
;;;Vanløse - Jyllingevej Kvarter;479370;533474;426780
;;;Vanløse - Jernbane Allé Kvarter;410619;450187;373448
;;;Vanløse - Sallingvej Kvarter;428833;467489;391592
;;;Vanløse - Grøndals Park Kvarter;420272;453880;388360
;;;Brønshøj-Husum - Husum;423158;462607;382856
;;;Brønshøj-Husum - Husum Nord;320521;338691;302755
;;;Brønshøj-Husum - Tingbjerg;283643;305443;263701
;;;Brønshøj-Husum - Brønshøj;484558;536626;434710
;;;Brønshøj-Husum - Bellahøj;311575;331982;291654
;;;Bispebjerg - Emdrup;411494;450638;371160
;;;Bispebjerg- Ryparken-Lundehus;376680;409073;346602
;;;Bispebjerg - Bispebjerg;371634;397341;346935
;;;Bispebjerg - Utterslev;360899;384850;338574
;;;Bispebjerg - Nordvest;350392;371786;329287
;;;Amager Øst - Amagerbro Øst;369303;398870;342117
;;;Amager Øst - Sundbyøster;410201;452541;370881
;;;Amager Øst - Villakvartererne;458019;522717;395796
;;;Amager Øst - Nordøstamager;542691;623585;462030
;;;Amager Vest - Amagerbro Vest;412624;455604;374597
;;;Amager Vest - Bryggen Syd;830577;1023549;626627
;;;Amager Vest - Faste Batteri;507295;575059;440364
;;;Amager Vest - Gamle Bryggen;470826;522732;422804
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);402797;456443;353189
;;;Amager Vest - Kolonihavekvarteret;366932;392845;340632
;;;Amager Vest - Sundbyvester;437302;487988;388932
;;;Amager Vest - Sundholmsvejs kvarteret;329985;346521;314771
;;;Amager Vest - Urbanplanen;308634;324081;294880
;;;Amager Vest - Ørestad City;444226;503201;379616
;;;Amager Vest - Ørestad Syd;452272;508318;393100
;;Taxable income indkomst;København i alt;323652;357771;291327
;;;Bydel - Indre By;397406;462037;337366
;;;Bydel - Østerbro;363616;410972;320911
;;;Bydel - Nørrebro;283681;304653;265233
;;;Bydel - Vesterbro/Kongens Enghave;336851;372533;302137
;;;Bydel - Valby;310163;337693;283338
;;;Bydel - Vanløse;323574;353501;295072
;;;Bydel - Brønshøj-Husum;295784;324372;267851
;;;Bydel - Bispebjerg;276986;296044;258536
;;;Bydel - Amager Øst;314910;348398;283520
;;;Bydel - Amager Vest;326844;363535;291037
;;;Bydel - Uden for inddeling;200310;194650;214601
;;;Lokaludvalg - Indre By;404306;470697;342310
;;;Lokaludvalg - Christianshavn;375288;433960;321681
;;;Lokaludvalg - Østerbro;363616;410972;320911
;;;Lokaludvalg - Nørrebro;283681;304653;265233
;;;Lokaludvalg - Vesterbro;354346;393507;317297
;;;Lokaludvalg - Kgs. Enghave;313241;345152;281003
;;;Lokaludvalg - Valby;310163;337693;283338
;;;Lokaludvalg - Vanløse;323574;353501;295072
;;;Lokaludvalg - Brønshøj-Husum;295784;324372;267851
;;;Lokaludvalg - Bispebjerg;276986;296044;258536
;;;Lokaludvalg - Amager Øst;314910;348398;283520
;;;Lokaludvalg - Amager Vest;326844;363535;291037
;;;Lokaludvalg - Uden for inddeling;200310;194650;214601
;;;Indre By - Middelalderbyen;365101;410798;319603
;;;Indre By - Metropolzonen;420200;512083;331848
;;;Indre By - Nansensgade-kvarteret;348127;391205;308310
;;;Indre By - Øster Farimagsgade-kvarteret;433745;527462;351520
;;;Indre By - Østerport;454751;566881;352699
;;;Indre By - Frederiksstaden;432187;482408;385007
;;;Indre By - Gammelholm og Nyhavn;391086;476415;312977
;;;Christianshavn - Neden Vandet;446454;535052;362251
;;;Christianshavn - Oven Vandet;309208;332601;288547
;;;Christianshavn - Holmen og Refshaleøen;447157;544224;355403
;;;Østerbro - Nord/Komponistkvarteret;377673;432346;329928
;;;Østerbro - Svanemøllen Syd/Øst;308848;329941;289383
;;;Østerbro - Århusgade Nord;329789;354958;307081
;;;Østerbro - Århusgade Syd;362904;407250;323089
;;;Østerbro - Rosenvænget;362472;404091;325080
;;;Østerbro - Ny Ryvang;262637;279638;246396
;;;Østerbro - Nord;488926;627975;379674
;;;Østerbro - Nordhavn;595048;741958;440437
;;;Østerbro - Lyngbyvej Vest;312188;336988;289218
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;321813;353466;292838
;;;Østerbro - Fælled;348123;375465;325500
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;300255;328563;275221
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;287907;309688;269007
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;289849;309319;272803
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;276976;296480;259239
;;;Nørrebro - Haraldsgade-kvarteret;253192;267107;241300
;;;Vesterbro - Vest;385472;435796;339127
;;;Vesterbro - Central;320718;346680;296912
;;;Vesterbro - Øst;333702;365601;302632
;;;Vesterbro - Syd;476299;549109;394289
;;;Kgs. Enghave - Bavnehøj;239036;249839;228412
;;;Kgs. Enghave - Gl. Sydhavn;257309;274325;241310
;;;Kgs. Enghave - Holmene;384307;429778;334893
;;;Valby - Gl. Valby;329706;366634;295348
;;;Valby - Syd;309205;334108;285194
;;;Valby - Ålholm;322097;351567;293467
;;;Valby - Valby Sydvest;299911;325248;274592
;;;Valby - Vigerslev;282834;305822;258935
;;;Vanløse - Jyllingevej Kvarter;348662;386605;311672
;;;Vanløse - Jernbane Allé Kvarter;307397;333176;283324
;;;Vanløse - Sallingvej Kvarter;322426;350711;295351
;;;Vanløse - Grøndals Park Kvarter;316034;341626;291796
;;;Brønshøj-Husum - Husum;315266;346456;283477
;;;Brønshøj-Husum - Husum Nord;248082;265083;231609
;;;Brønshøj-Husum - Tingbjerg;221666;238833;205942
;;;Brønshøj-Husum - Brønshøj;358515;400798;318068
;;;Brønshøj-Husum - Bellahøj;245415;262225;229241
;;;Bispebjerg - Emdrup;311486;338715;283412
;;;Bispebjerg- Ryparken-Lundehus;285184;305150;266689
;;;Bispebjerg - Bispebjerg;283997;303831;265061
;;;Bispebjerg - Utterslev;275003;293690;257612
;;;Bispebjerg - Nordvest;269851;287487;252599
;;;Amager Øst - Amagerbro Øst;280889;302184;261473
;;;Amager Øst - Sundbyøster;307855;339244;278831
;;;Amager Øst - Villakvartererne;330709;371544;291595
;;;Amager Øst - Nordøstamager;390879;442907;339062
;;;Amager Vest - Amagerbro Vest;313435;344629;285878
;;;Amager Vest - Bryggen Syd;548996;649300;441977
;;;Amager Vest - Faste Batteri;375884;421652;330441
;;;Amager Vest - Gamle Bryggen;351153;387300;317935
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);302875;342633;266631
;;;Amager Vest - Kolonihavekvarteret;275233;295435;254794
;;;Amager Vest - Sundbyvester;321693;358221;287049
;;;Amager Vest - Sundholmsvejs kvarteret;255923;267943;244937
;;;Amager Vest - Urbanplanen;248878;268076;231917
;;;Amager Vest - Ørestad City;335150;373798;292350
;;;Amager Vest - Ørestad Syd;337471;373268;299709
;;Equivalised disposable incomedisponibel indkomst;København i alt;340934;350252;332059
;;;Bydel - Indre By;450254;469257;432517
;;;Bydel - Østerbro;394381;408711;381405
;;;Bydel - Nørrebro;282939;292433;274506
;;;Bydel - Vesterbro/Kongens Enghave;344997;356962;333280
;;;Bydel - Valby;325512;331125;320022
;;;Bydel - Vanløse;348960;355050;343142
;;;Bydel - Brønshøj-Husum;317971;320824;315172
;;;Bydel - Bispebjerg;276661;281026;272409
;;;Bydel - Amager Øst;332223;342822;322235
;;;Bydel - Amager Vest;340509;350866;330397
;;;Bydel - Uden for inddeling;163357;151632;193396
;;;Lokaludvalg - Indre By;461953;481246;443862
;;;Lokaludvalg - Christianshavn;412260;429925;396016
;;;Lokaludvalg - Østerbro;394381;408711;381405
;;;Lokaludvalg - Nørrebro;282939;292433;274506
;;;Lokaludvalg - Vesterbro;366294;382109;351195
;;;Lokaludvalg - Kgs. Enghave;316201;323967;308329
;;;Lokaludvalg - Valby;325512;331125;320022
;;;Lokaludvalg - Vanløse;348960;355050;343142
;;;Lokaludvalg - Brønshøj-Husum;317971;320824;315172
;;;Lokaludvalg - Bispebjerg;276661;281026;272409
;;;Lokaludvalg - Amager Øst;332223;342822;322235
;;;Lokaludvalg - Amager Vest;340509;350866;330397
;;;Lokaludvalg - Uden for inddeling;163357;151632;193396
;;;Indre By - Middelalderbyen;408372;440427;376543
;;;Indre By - Metropolzonen;470962;503246;439240
;;;Indre By - Nansensgade-kvarteret;356907;369410;345244
;;;Indre By - Øster Farimagsgade-kvarteret;513557;543970;486759
;;;Indre By - Østerport;557572;566175;549808
;;;Indre By - Frederiksstaden;496059;497930;494294
;;;Indre By - Gammelholm og Nyhavn;462625;503392;424955
;;;Christianshavn - Neden Vandet;551080;575434;527799
;;;Christianshavn - Oven Vandet;320674;329667;312656
;;;Christianshavn - Holmen og Refshaleøen;468493;490685;447530
;;;Østerbro - Nord/Komponistkvarteret;445018;467533;425275
;;;Østerbro - Svanemøllen Syd/Øst;305263;313244;297888
;;;Østerbro - Århusgade Nord;339721;343841;335966
;;;Østerbro - Århusgade Syd;387131;399156;376239
;;;Østerbro - Rosenvænget;405647;426670;386685
;;;Østerbro - Ny Ryvang;267022;276474;257969
;;;Østerbro - Nord;640875;692316;600267
;;;Østerbro - Nordhavn;670791;681892;659319
;;;Østerbro - Lyngbyvej Vest;322929;327052;319081
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;324671;337041;313265
;;;Østerbro - Fælled;361075;379605;345670
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;304274;316209;293583
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;286480;299804;274842
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;287691;293685;282388
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;275225;283584;267546
;;;Nørrebro - Haraldsgade-kvarteret;251027;257385;245539
;;;Vesterbro - Vest;404963;421372;389768
;;;Vesterbro - Central;322681;333731;312449
;;;Vesterbro - Øst;337673;353098;322448
;;;Vesterbro - Syd;528909;550978;503908
;;;Kgs. Enghave - Bavnehøj;232124;235268;229024
;;;Kgs. Enghave - Gl. Sydhavn;256461;261044;252125
;;;Kgs. Enghave - Holmene;392088;399098;384473
;;;Valby - Gl. Valby;360819;374755;347798
;;;Valby - Syd;316876;321354;312540
;;;Valby - Ålholm;350830;359234;342664
;;;Valby - Valby Sydvest;305777;307757;303786
;;;Valby - Vigerslev;293752;295130;292313
;;;Vanløse - Jyllingevej Kvarter;403387;408007;398896
;;;Vanløse - Jernbane Allé Kvarter;322013;328492;315931
;;;Vanløse - Sallingvej Kvarter;337539;343402;331881
;;;Vanløse - Grøndals Park Kvarter;326448;333428;319832
;;;Brønshøj-Husum - Husum;350227;352039;348379
;;;Brønshøj-Husum - Husum Nord;252226;253273;251199
;;;Brønshøj-Husum - Tingbjerg;219311;221018;217748
;;;Brønshøj-Husum - Brønshøj;397884;402902;393078
;;;Brønshøj-Husum - Bellahøj;243048;245491;240664
;;;Bispebjerg - Emdrup;335698;335321;336087
;;;Bispebjerg- Ryparken-Lundehus;298327;300799;296025
;;;Bispebjerg - Bispebjerg;288119;290897;285446
;;;Bispebjerg - Utterslev;278503;285019;272437
;;;Bispebjerg - Nordvest;262093;267373;256886
;;;Amager Øst - Amagerbro Øst;282162;291363;273695
;;;Amager Øst - Sundbyøster;318851;326424;311819
;;;Amager Øst - Villakvartererne;373879;385872;362361
;;;Amager Øst - Nordøstamager;417719;429575;405909
;;;Amager Vest - Amagerbro Vest;317050;329539;305993
;;;Amager Vest - Bryggen Syd;630692;645026;615601
;;;Amager Vest - Faste Batteri;391398;405533;377518
;;;Amager Vest - Gamle Bryggen;355790;373702;339263
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);315259;331126;300580
;;;Amager Vest - Kolonihavekvarteret;303072;302968;303179
;;;Amager Vest - Sundbyvester;356065;363556;348914
;;;Amager Vest - Sundholmsvejs kvarteret;253844;260668;247556
;;;Amager Vest - Urbanplanen;245289;246965;243797
;;;Amager Vest - Ørestad City;335957;345497;325573
;;;Amager Vest - Ørestad Syd;337907;344586;330878
;;;;;;
Kilde: Egne beregninger på baggrund af mikrodata fra Danmarks Statistiks Forskningsservice ;;;;;;
