Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Bispebjerg - Emdrup;3542;1797;1745
;;;Bispebjerg- Ryparken-Lundehus;5377;2590;2787
;;;Bispebjerg - Bispebjerg;5258;2576;2682
;;;Bispebjerg - Utterslev;4878;2355;2523
;;;Bispebjerg - Nordvest;27092;13461;13631
;;;Amager Øst - Amagerbro Øst;20044;9602;10442
;;;Amager Øst - Sundbyøster;12215;5883;6332
;;;Amager Øst - Villakvartererne;12314;6036;6278
;;;Amager Øst - Nordøstamager;7637;3816;3821
;;;Amager Vest - Amagerbro Vest;6023;2829;3194
;;;Amager Vest - Bryggen Syd;4198;2156;2042
;;;Amager Vest - Faste Batteri;4048;2010;2038
;;;Amager Vest - Gamle Bryggen;6381;3066;3315
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2846;1369;1477
;;;Amager Vest - Kolonihavekvarteret;4733;2386;2347
;;;Amager Vest - Sundbyvester;10492;5125;5367
;;;Amager Vest - Sundholmsvejs kvarteret;9930;4759;5171
;;;Amager Vest - Urbanplanen;3834;1804;2030
;;;Amager Vest - Ørestad City;8741;4570;4171
;;;Amager Vest - Ørestad Syd;10484;5383;5101
;;Total personal income (excluding imputed rental value of owner-occupied housing and before deduction of interest expenses);København i alt;543812;265314;278498
;;;Bydel - Indre By;47429;22890;24539
;;;Bydel - Østerbro;67765;32209;35556
;;;Bydel - Nørrebro;66278;31169;35109
;;;Bydel - Vesterbro/Kongens Enghave;67971;33642;34329
;;;Bydel - Valby;53550;26495;27055
;;;Bydel - Vanløse;33799;16514;17285
;;;Bydel - Brønshøj-Husum;34728;17197;17531
;;;Bydel - Bispebjerg;46084;22739;23345
;;;Bydel - Amager Øst;52146;25302;26844
;;;Bydel - Amager Vest;71629;35415;36214
;;;Bydel - Uden for inddeling;2433;1742;691
;;;Lokaludvalg - Indre By;36250;17538;18712
;;;Lokaludvalg - Christianshavn;11179;5352;5827
;;;Lokaludvalg - Østerbro;67765;32209;35556
