"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,47 years,801
,,48 years,750
,,49 years,813
,,50 years,789
,,51 years,772
,,52 years,732
,,53 years,725
,,54 years,661
,,55 years,595
,,56 years,560
,,57 years,602
,,58 years,605
,,59 years,663
,,60 years,594
,,61 years,613
,,62 years,537
,,63 years,504
,,64 years,486
,,65 years,448
,,66 years,392
,,67 years,412
,,68 years,406
,,69 years,378
,,70 years,335
,,71 years,319
,,72 years,371
,,73 years,303
,,74 years,319
,,75 years,300
,,76 years,243
,,77 years,283
,,78 years,284
,,79 years,275
,,80 years,233
,,81 years,227
,,82 years,218
,,83 years,142
,,84 years,138
,,85 years,106
,,86 years,109
,,87 years,108
,,88 years,86
,,89 years,79
,,90 years,55
,,91 years,41
,,92 years,41
,,93 years,35
,,94 years,27
,,95 years,19
,,96 years,17
,,97 years,16
,,98 years,7
,,99+ years,15
,Quarter - Vanløse,0 years,438
,,1 years,418
,,2 years,419
,,3 years,383
,,4 years,430
,,5 years,386
,,6 years,394
,,7 years,351
,,8 years,339
,,9 years,361
,,10 years,418
,,11 years,393
,,12 years,375
,,13 years,414
,,14 years,407
,,15 years,444
,,16 years,448
,,17 years,429
,,18 years,420
,,19 years,448
,,20 years,480
,,21 years,525
,,22 years,670
,,23 years,749
,,24 years,821
,,25 years,856
,,26 years,902
,,27 years,946
,,28 years,987
,,29 years,886
,,30 years,912
,,31 years,883
,,32 years,763
,,33 years,725
,,34 years,710
,,35 years,703
,,36 years,621
,,37 years,609
,,38 years,527
,,39 years,525
,,40 years,547
,,41 years,508
,,42 years,482
,,43 years,504
,,44 years,476
,,45 years,523
,,46 years,531
,,47 years,499
,,48 years,495
,,49 years,530
,,50 years,582
,,51 years,527
,,52 years,510
,,53 years,543
,,54 years,501
,,55 years,450
,,56 years,437
,,57 years,443
,,58 years,441
,,59 years,458
,,60 years,454
,,61 years,433
,,62 years,458
,,63 years,418
,,64 years,391
,,65 years,366
,,66 years,299
,,67 years,346
,,68 years,347
,,69 years,325
,,70 years,326
,,71 years,315
,,72 years,265
,,73 years,241
,,74 years,258
,,75 years,280
,,76 years,251
,,77 years,267
,,78 years,278
,,79 years,237
,,80 years,192
,,81 years,153
,,82 years,147
,,83 years,135
,,84 years,121
,,85 years,102
,,86 years,97
,,87 years,80
,,88 years,73
,,89 years,55
,,90 years,43
,,91 years,32
,,92 years,32
,,93 years,24
,,94 years,18
,,95 years,9
,,96 years,14
,,97 years,5
,,98 years,3
,,99+ years,11
,Quarter - Brønshøj-Husum,0 years,533
,,1 years,532
,,2 years,579
,,3 years,524
,,4 years,567
,,5 years,585
,,6 years,574
,,7 years,556
,,8 years,601
,,9 years,569
,,10 years,534
,,11 years,572
,,12 years,484
,,13 years,516
,,14 years,539
,,15 years,565
,,16 years,531
,,17 years,526
,,18 years,524
,,19 years,544
,,20 years,520
,,21 years,606
,,22 years,690
,,23 years,748
,,24 years,718
,,25 years,763
,,26 years,745
,,27 years,752
,,28 years,770
,,29 years,746
,,30 years,692
,,31 years,707
,,32 years,760
,,33 years,761
