Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Bydel - Indre By;1902;997;905
;;;Bydel - Østerbro;3138;1660;1478
;;;Bydel - Nørrebro;2661;1369;1292
;;;Bydel - Vesterbro/Kongens Enghave;3083;1578;1505
;;;Bydel - Valby;2949;1525;1424
;;;Bydel - Vanløse;2007;1035;972
;;;Bydel - Brønshøj-Husum;2645;1337;1308
;;;Bydel - Bispebjerg;1929;1003;926
;;;Bydel - Amager Øst;2368;1202;1166
;;;Bydel - Amager Vest;4107;2078;2029
;;;Bydel - Uden for inddeling;62;33;29
;;;Lokaludvalg - Indre By;1411;741;670
;;;Lokaludvalg - Christianshavn;491;256;235
;;;Lokaludvalg - Østerbro;3138;1660;1478
;;;Lokaludvalg - Nørrebro;2661;1369;1292
;;;Lokaludvalg - Vesterbro;1896;968;928
;;;Lokaludvalg - Kgs. Enghave;1187;610;577
;;;Lokaludvalg - Valby;2949;1525;1424
;;;Lokaludvalg - Vanløse;2007;1035;972
;;;Lokaludvalg - Brønshøj-Husum;2645;1337;1308
;;;Lokaludvalg - Bispebjerg;1929;1003;926
;;;Lokaludvalg - Amager Øst;2368;1202;1166
;;;Lokaludvalg - Amager Vest;4107;2078;2029
;;;Lokaludvalg - Uden for inddeling;62;33;29
;;;Indre By - Middelalderbyen;168;95;73
;;;Indre By - Metropolzonen;86;44;42
;;;Indre By - Nansensgade-kvarteret;269;139;130
;;;Indre By - Øster Farimagsgade-kvarteret;356;178;178
;;;Indre By - Østerport;198;109;89
;;;Indre By - Frederiksstaden;238;129;109
;;;Indre By - Gammelholm og Nyhavn;96;47;49
;;;Christianshavn - Neden Vandet;85;43;42
;;;Christianshavn - Oven Vandet;204;102;102
;;;Christianshavn - Holmen og Refshaleøen;202;111;91
;;;Østerbro - Nord/Komponistkvarteret;146;78;68
;;;Østerbro - Svanemøllen Syd/Øst;378;204;174
;;;Østerbro - Århusgade Nord;261;133;128
;;;Østerbro - Århusgade Syd;503;269;234
;;;Østerbro - Rosenvænget;462;240;222
;;;Østerbro - Ny Ryvang;165;84;81
;;;Østerbro - Nord;230;123;107
