Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Amager Vest - Urbanplanen;13;2;11
;;;Amager Vest - Ørestad City;0;0;0
;;;Amager Vest - Ørestad Syd;12;1;11
;Western countries;All ages;København i alt;83237;42052;41185
;;;Bydel - Indre By;8541;4130;4411
;;;Bydel - Østerbro;9135;4464;4671
;;;Bydel - Nørrebro;8467;4159;4308
;;;Bydel - Vesterbro/Kongens Enghave;12843;6611;6232
;;;Bydel - Valby;7297;3716;3581
;;;Bydel - Vanløse;3056;1607;1449
;;;Bydel - Brønshøj-Husum;3577;1960;1617
;;;Bydel - Bispebjerg;6581;3302;3279
;;;Bydel - Amager Øst;7577;3742;3835
;;;Bydel - Amager Vest;15155;7742;7413
;;;Bydel - Uden for inddeling;1008;619;389
;;;Lokaludvalg - Indre By;6902;3318;3584
;;;Lokaludvalg - Christianshavn;1639;812;827
;;;Lokaludvalg - Østerbro;9135;4464;4671
;;;Lokaludvalg - Nørrebro;8467;4159;4308
;;;Lokaludvalg - Vesterbro;6694;3473;3221
;;;Lokaludvalg - Kgs. Enghave;6149;3138;3011
;;;Lokaludvalg - Valby;7297;3716;3581
;;;Lokaludvalg - Vanløse;3056;1607;1449
;;;Lokaludvalg - Brønshøj-Husum;3577;1960;1617
;;;Lokaludvalg - Bispebjerg;6581;3302;3279
;;;Lokaludvalg - Amager Øst;7577;3742;3835
;;;Lokaludvalg - Amager Vest;15155;7742;7413
;;;Lokaludvalg - Uden for inddeling;1008;619;389
;;;Indre By - Middelalderbyen;2025;986;1039
;;;Indre By - Metropolzonen;610;324;286
;;;Indre By - Nansensgade-kvarteret;782;390;392
;;;Indre By - Øster Farimagsgade-kvarteret;834;391;443
;;;Indre By - Østerport;596;292;304
;;;Indre By - Frederiksstaden;1388;608;780
;;;Indre By - Gammelholm og Nyhavn;667;327;340
;;;Christianshavn - Neden Vandet;525;276;249
;;;Christianshavn - Oven Vandet;615;292;323
;;;Christianshavn - Holmen og Refshaleøen;499;244;255
;;;Østerbro - Nord/Komponistkvarteret;328;152;176
;;;Østerbro - Svanemøllen Syd/Øst;1227;581;646
;;;Østerbro - Århusgade Nord;952;448;504
;;;Østerbro - Århusgade Syd;1020;513;507
;;;Østerbro - Rosenvænget;946;459;487
;;;Østerbro - Ny Ryvang;291;140;151
;;;Østerbro - Nord;509;236;273
;;;Østerbro - Nordhavn;1428;727;701
;;;Østerbro - Lyngbyvej Vest;593;305;288
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;831;399;432
;;;Østerbro - Fælled;1010;504;506
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;1506;758;748
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;1927;900;1027
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;1532;744;788
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;2351;1197;1154
;;;Nørrebro - Haraldsgade-kvarteret;1151;560;591
;;;Vesterbro - Vest;1890;901;989
;;;Vesterbro - Central;2248;1140;1108
;;;Vesterbro - Øst;1129;647;482
;;;Vesterbro - Syd;1427;785;642
;;;Kgs. Enghave - Bavnehøj;304;155;149
;;;Kgs. Enghave - Gl. Sydhavn;1447;707;740
;;;Kgs. Enghave - Holmene;4398;2276;2122
;;;Valby - Gl. Valby;1189;601;588
;;;Valby - Syd;2539;1266;1273
;;;Valby - Ålholm;670;355;315
;;;Valby - Valby Sydvest;2341;1191;1150
;;;Valby - Vigerslev;558;303;255
;;;Vanløse - Jyllingevej Kvarter;818;464;354
;;;Vanløse - Jernbane Allé Kvarter;1175;602;573
;;;Vanløse - Sallingvej Kvarter;747;369;378
;;;Vanløse - Grøndals Park Kvarter;316;172;144
;;;Brønshøj-Husum - Husum;1151;646;505
;;;Brønshøj-Husum - Husum Nord;957;551;406
;;;Brønshøj-Husum - Tingbjerg;605;325;280
;;;Brønshøj-Husum - Brønshøj;667;332;335
;;;Brønshøj-Husum - Bellahøj;197;106;91
;;;Bispebjerg - Emdrup;433;175;258
;;;Bispebjerg- Ryparken-Lundehus;637;313;324
;;;Bispebjerg - Bispebjerg;380;204;176
;;;Bispebjerg - Utterslev;501;259;242
;;;Bispebjerg - Nordvest;4630;2351;2279
;;;Amager Øst - Amagerbro Øst;2595;1283;1312
;;;Amager Øst - Sundbyøster;1186;584;602
;;;Amager Øst - Villakvartererne;1513;770;743
;;;Amager Øst - Nordøstamager;2283;1105;1178
;;;Amager Vest - Amagerbro Vest;612;288;324
;;;Amager Vest - Bryggen Syd;771;357;414
;;;Amager Vest - Faste Batteri;1294;631;663
;;;Amager Vest - Gamle Bryggen;679;335;344
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);820;378;442
;;;Amager Vest - Kolonihavekvarteret;791;419;372
;;;Amager Vest - Sundbyvester;1259;703;556
;;;Amager Vest - Sundholmsvejs kvarteret;1526;738;788
;;;Amager Vest - Urbanplanen;259;119;140
;;;Amager Vest - Ørestad City;3347;1737;1610
;;;Amager Vest - Ørestad Syd;3797;2037;1760
;;0-4 years;København i alt;2868;1439;1429
;;;Bydel - Indre By;207;112;95
;;;Bydel - Østerbro;354;183;171
;;;Bydel - Nørrebro;192;101;91
;;;Bydel - Vesterbro/Kongens Enghave;523;235;288
;;;Bydel - Valby;293;138;155
;;;Bydel - Vanløse;66;35;31
;;;Bydel - Brønshøj-Husum;140;77;63
;;;Bydel - Bispebjerg;151;71;80
;;;Bydel - Amager Øst;314;151;163
;;;Bydel - Amager Vest;622;331;291
;;;Bydel - Uden for inddeling;6;5;1
;;;Lokaludvalg - Indre By;165;89;76
;;;Lokaludvalg - Christianshavn;42;23;19
;;;Lokaludvalg - Østerbro;354;183;171
;;;Lokaludvalg - Nørrebro;192;101;91
;;;Lokaludvalg - Vesterbro;240;107;133
;;;Lokaludvalg - Kgs. Enghave;283;128;155
;;;Lokaludvalg - Valby;293;138;155
;;;Lokaludvalg - Vanløse;66;35;31
;;;Lokaludvalg - Brønshøj-Husum;140;77;63
;;;Lokaludvalg - Bispebjerg;151;71;80
;;;Lokaludvalg - Amager Øst;314;151;163
;;;Lokaludvalg - Amager Vest;622;331;291
;;;Lokaludvalg - Uden for inddeling;6;5;1
;;;Indre By - Middelalderbyen;37;25;12
;;;Indre By - Metropolzonen;21;6;15
;;;Indre By - Nansensgade-kvarteret;21;13;8
;;;Indre By - Øster Farimagsgade-kvarteret;37;19;18
;;;Indre By - Østerport;22;11;11
;;;Indre By - Frederiksstaden;17;11;6
;;;Indre By - Gammelholm og Nyhavn;10;4;6
;;;Christianshavn - Neden Vandet;24;13;11
;;;Christianshavn - Oven Vandet;4;1;3
;;;Christianshavn - Holmen og Refshaleøen;14;9;5
;;;Østerbro - Nord/Komponistkvarteret;13;6;7
;;;Østerbro - Svanemøllen Syd/Øst;41;20;21
;;;Østerbro - Århusgade Nord;30;18;12
;;;Østerbro - Århusgade Syd;28;13;15
;;;Østerbro - Rosenvænget;22;13;9
;;;Østerbro - Ny Ryvang;3;1;2
;;;Østerbro - Nord;20;13;7
;;;Østerbro - Nordhavn;94;46;48
;;;Østerbro - Lyngbyvej Vest;20;9;11
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;34;19;15
;;;Østerbro - Fælled;49;25;24
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;34;17;17
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;44;17;27
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;43;25;18
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;43;23;20
;;;Nørrebro - Haraldsgade-kvarteret;28;19;9
;;;Vesterbro - Vest;120;54;66
;;;Vesterbro - Central;51;16;35
;;;Vesterbro - Øst;16;8;8
;;;Vesterbro - Syd;53;29;24
;;;Kgs. Enghave - Bavnehøj;9;4;5
;;;Kgs. Enghave - Gl. Sydhavn;25;15;10
;;;Kgs. Enghave - Holmene;249;109;140
;;;Valby - Gl. Valby;41;22;19
;;;Valby - Syd;108;51;57
;;;Valby - Ålholm;10;6;4
;;;Valby - Valby Sydvest;112;48;64
;;;Valby - Vigerslev;22;11;11
;;;Vanløse - Jyllingevej Kvarter;15;10;5
;;;Vanløse - Jernbane Allé Kvarter;27;12;15
;;;Vanløse - Sallingvej Kvarter;17;10;7
;;;Vanløse - Grøndals Park Kvarter;7;3;4
;;;Brønshøj-Husum - Husum;34;20;14
;;;Brønshøj-Husum - Husum Nord;44;28;16
;;;Brønshøj-Husum - Tingbjerg;31;15;16
;;;Brønshøj-Husum - Brønshøj;19;10;9
;;;Brønshøj-Husum - Bellahøj;12;4;8
;;;Bispebjerg - Emdrup;3;2;1
;;;Bispebjerg- Ryparken-Lundehus;17;9;8
;;;Bispebjerg - Bispebjerg;2;0;2
;;;Bispebjerg - Utterslev;12;5;7
;;;Bispebjerg - Nordvest;117;55;62
;;;Amager Øst - Amagerbro Øst;94;49;45
;;;Amager Øst - Sundbyøster;39;14;25
;;;Amager Øst - Villakvartererne;42;23;19
;;;Amager Øst - Nordøstamager;139;65;74
;;;Amager Vest - Amagerbro Vest;14;8;6
;;;Amager Vest - Bryggen Syd;39;15;24
;;;Amager Vest - Faste Batteri;63;31;32
;;;Amager Vest - Gamle Bryggen;28;20;8
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);35;17;18
;;;Amager Vest - Kolonihavekvarteret;21;10;11
;;;Amager Vest - Sundbyvester;42;31;11
;;;Amager Vest - Sundholmsvejs kvarteret;29;14;15
;;;Amager Vest - Urbanplanen;12;4;8
;;;Amager Vest - Ørestad City;143;80;63
;;;Amager Vest - Ørestad Syd;196;101;95
;;5-9 years;København i alt;2005;1011;994
;;;Bydel - Indre By;179;95;84
;;;Bydel - Østerbro;268;144;124
;;;Bydel - Nørrebro;117;58;59
;;;Bydel - Vesterbro/Kongens Enghave;285;149;136
;;;Bydel - Valby;220;109;111
;;;Bydel - Vanløse;73;35;38
;;;Bydel - Brønshøj-Husum;164;77;87
;;;Bydel - Bispebjerg;123;67;56
;;;Bydel - Amager Øst;146;71;75
;;;Bydel - Amager Vest;423;201;222
;;;Bydel - Uden for inddeling;7;5;2
;;;Lokaludvalg - Indre By;151;79;72
;;;Lokaludvalg - Christianshavn;28;16;12
;;;Lokaludvalg - Østerbro;268;144;124
;;;Lokaludvalg - Nørrebro;117;58;59
;;;Lokaludvalg - Vesterbro;157;87;70
;;;Lokaludvalg - Kgs. Enghave;128;62;66
;;;Lokaludvalg - Valby;220;109;111
;;;Lokaludvalg - Vanløse;73;35;38
;;;Lokaludvalg - Brønshøj-Husum;164;77;87
;;;Lokaludvalg - Bispebjerg;123;67;56
;;;Lokaludvalg - Amager Øst;146;71;75
;;;Lokaludvalg - Amager Vest;423;201;222
;;;Lokaludvalg - Uden for inddeling;7;5;2
;;;Indre By - Middelalderbyen;33;13;20
;;;Indre By - Metropolzonen;20;12;8
;;;Indre By - Nansensgade-kvarteret;21;10;11
;;;Indre By - Øster Farimagsgade-kvarteret;27;16;11
;;;Indre By - Østerport;29;20;9
;;;Indre By - Frederiksstaden;15;5;10
;;;Indre By - Gammelholm og Nyhavn;6;3;3
;;;Christianshavn - Neden Vandet;11;6;5
;;;Christianshavn - Oven Vandet;6;2;4
;;;Christianshavn - Holmen og Refshaleøen;11;8;3
;;;Østerbro - Nord/Komponistkvarteret;14;6;8
;;;Østerbro - Svanemøllen Syd/Øst;16;8;8
;;;Østerbro - Århusgade Nord;24;12;12
;;;Østerbro - Århusgade Syd;21;15;6
;;;Østerbro - Rosenvænget;19;14;5
;;;Østerbro - Ny Ryvang;5;3;2
;;;Østerbro - Nord;21;12;9
;;;Østerbro - Nordhavn;63;34;29
;;;Østerbro - Lyngbyvej Vest;21;12;9
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;28;12;16
;;;Østerbro - Fælled;36;16;20
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;29;15;14
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;25;12;13
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;22;13;9
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;23;12;11
;;;Nørrebro - Haraldsgade-kvarteret;18;6;12
;;;Vesterbro - Vest;85;46;39
;;;Vesterbro - Central;46;22;24
;;;Vesterbro - Øst;8;5;3
;;;Vesterbro - Syd;18;14;4
;;;Kgs. Enghave - Bavnehøj;5;0;5
;;;Kgs. Enghave - Gl. Sydhavn;16;7;9
;;;Kgs. Enghave - Holmene;107;55;52
;;;Valby - Gl. Valby;35;19;16
;;;Valby - Syd;79;38;41
;;;Valby - Ålholm;11;4;7
;;;Valby - Valby Sydvest;77;42;35
;;;Valby - Vigerslev;18;6;12
;;;Vanløse - Jyllingevej Kvarter;20;8;12
;;;Vanløse - Jernbane Allé Kvarter;26;15;11
;;;Vanløse - Sallingvej Kvarter;24;10;14
;;;Vanløse - Grøndals Park Kvarter;3;2;1
;;;Brønshøj-Husum - Husum;42;19;23
;;;Brønshøj-Husum - Husum Nord;55;27;28
;;;Brønshøj-Husum - Tingbjerg;40;20;20
;;;Brønshøj-Husum - Brønshøj;18;9;9
;;;Brønshøj-Husum - Bellahøj;9;2;7
;;;Bispebjerg - Emdrup;10;4;6
;;;Bispebjerg- Ryparken-Lundehus;27;19;8
;;;Bispebjerg - Bispebjerg;12;7;5
;;;Bispebjerg - Utterslev;16;6;10
;;;Bispebjerg - Nordvest;58;31;27
;;;Amager Øst - Amagerbro Øst;41;18;23
;;;Amager Øst - Sundbyøster;19;10;9
;;;Amager Øst - Villakvartererne;30;18;12
;;;Amager Øst - Nordøstamager;56;25;31
;;;Amager Vest - Amagerbro Vest;8;4;4
;;;Amager Vest - Bryggen Syd;31;17;14
;;;Amager Vest - Faste Batteri;25;10;15
;;;Amager Vest - Gamle Bryggen;26;7;19
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);15;7;8
;;;Amager Vest - Kolonihavekvarteret;21;6;15
;;;Amager Vest - Sundbyvester;31;17;14
;;;Amager Vest - Sundholmsvejs kvarteret;21;10;11
;;;Amager Vest - Urbanplanen;15;6;9
;;;Amager Vest - Ørestad City;88;42;46
;;;Amager Vest - Ørestad Syd;142;75;67
;;10-14 years;København i alt;1433;718;715
;;;Bydel - Indre By;135;73;62
;;;Bydel - Østerbro;194;104;90
;;;Bydel - Nørrebro;67;36;31
;;;Bydel - Vesterbro/Kongens Enghave;202;104;98
;;;Bydel - Valby;125;56;69
;;;Bydel - Vanløse;69;38;31
;;;Bydel - Brønshøj-Husum;136;75;61
;;;Bydel - Bispebjerg;105;48;57
;;;Bydel - Amager Øst;110;45;65
;;;Bydel - Amager Vest;288;137;151
;;;Bydel - Uden for inddeling;2;2;0
;;;Lokaludvalg - Indre By;122;70;52
;;;Lokaludvalg - Christianshavn;13;3;10
;;;Lokaludvalg - Østerbro;194;104;90
;;;Lokaludvalg - Nørrebro;67;36;31
;;;Lokaludvalg - Vesterbro;110;55;55
;;;Lokaludvalg - Kgs. Enghave;92;49;43
;;;Lokaludvalg - Valby;125;56;69
;;;Lokaludvalg - Vanløse;69;38;31
;;;Lokaludvalg - Brønshøj-Husum;136;75;61
;;;Lokaludvalg - Bispebjerg;105;48;57
;;;Lokaludvalg - Amager Øst;110;45;65
;;;Lokaludvalg - Amager Vest;288;137;151
;;;Lokaludvalg - Uden for inddeling;2;2;0
;;;Indre By - Middelalderbyen;18;14;4
;;;Indre By - Metropolzonen;13;10;3
;;;Indre By - Nansensgade-kvarteret;11;3;8
;;;Indre By - Øster Farimagsgade-kvarteret;28;15;13
;;;Indre By - Østerport;35;19;16
;;;Indre By - Frederiksstaden;15;8;7
;;;Indre By - Gammelholm og Nyhavn;2;1;1
;;;Christianshavn - Neden Vandet;4;1;3
;;;Christianshavn - Oven Vandet;1;0;1
;;;Christianshavn - Holmen og Refshaleøen;8;2;6
;;;Østerbro - Nord/Komponistkvarteret;6;2;4
;;;Østerbro - Svanemøllen Syd/Øst;12;5;7
;;;Østerbro - Århusgade Nord;19;13;6
;;;Østerbro - Århusgade Syd;17;7;10
;;;Østerbro - Rosenvænget;21;12;9
;;;Østerbro - Ny Ryvang;8;3;5
;;;Østerbro - Nord;28;14;14
;;;Østerbro - Nordhavn;31;17;14
;;;Østerbro - Lyngbyvej Vest;8;5;3
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;10;4;6
;;;Østerbro - Fælled;34;22;12
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;11;5;6
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;12;5;7
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;11;6;5
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;16;8;8
;;;Nørrebro - Haraldsgade-kvarteret;17;12;5
;;;Vesterbro - Vest;48;22;26
;;;Vesterbro - Central;36;19;17
;;;Vesterbro - Øst;10;5;5
;;;Vesterbro - Syd;16;9;7
;;;Kgs. Enghave - Bavnehøj;3;2;1
;;;Kgs. Enghave - Gl. Sydhavn;27;15;12
;;;Kgs. Enghave - Holmene;62;32;30
;;;Valby - Gl. Valby;21;9;12
;;;Valby - Syd;52;22;30
;;;Valby - Ålholm;10;7;3
;;;Valby - Valby Sydvest;33;16;17
;;;Valby - Vigerslev;9;2;7
;;;Vanløse - Jyllingevej Kvarter;25;14;11
;;;Vanløse - Jernbane Allé Kvarter;26;14;12
;;;Vanløse - Sallingvej Kvarter;16;8;8
;;;Vanløse - Grøndals Park Kvarter;2;2;0
;;;Brønshøj-Husum - Husum;39;18;21
;;;Brønshøj-Husum - Husum Nord;44;28;16
;;;Brønshøj-Husum - Tingbjerg;30;19;11
;;;Brønshøj-Husum - Brønshøj;17;7;10
;;;Brønshøj-Husum - Bellahøj;6;3;3
;;;Bispebjerg - Emdrup;12;4;8
;;;Bispebjerg- Ryparken-Lundehus;15;2;13
;;;Bispebjerg - Bispebjerg;4;3;1
;;;Bispebjerg - Utterslev;20;14;6
;;;Bispebjerg - Nordvest;54;25;29
;;;Amager Øst - Amagerbro Øst;34;13;21
;;;Amager Øst - Sundbyøster;10;7;3
;;;Amager Øst - Villakvartererne;25;10;15
;;;Amager Øst - Nordøstamager;41;15;26
;;;Amager Vest - Amagerbro Vest;4;0;4
;;;Amager Vest - Bryggen Syd;22;12;10
;;;Amager Vest - Faste Batteri;5;4;1
;;;Amager Vest - Gamle Bryggen;11;5;6
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);10;3;7
;;;Amager Vest - Kolonihavekvarteret;25;12;13
;;;Amager Vest - Sundbyvester;31;18;13
;;;Amager Vest - Sundholmsvejs kvarteret;17;12;5
;;;Amager Vest - Urbanplanen;10;1;9
;;;Amager Vest - Ørestad City;49;22;27
;;;Amager Vest - Ørestad Syd;104;48;56
;;15-19 years;København i alt;1242;600;642
;;;Bydel - Indre By;125;57;68
;;;Bydel - Østerbro;184;101;83
;;;Bydel - Nørrebro;94;46;48
;;;Bydel - Vesterbro/Kongens Enghave;154;76;78
;;;Bydel - Valby;113;51;62
;;;Bydel - Vanløse;50;24;26
;;;Bydel - Brønshøj-Husum;99;49;50
;;;Bydel - Bispebjerg;65;28;37
;;;Bydel - Amager Øst;106;51;55
;;;Bydel - Amager Vest;251;116;135
;;;Bydel - Uden for inddeling;1;1;0
;;;Lokaludvalg - Indre By;105;46;59
;;;Lokaludvalg - Christianshavn;20;11;9
;;;Lokaludvalg - Østerbro;184;101;83
;;;Lokaludvalg - Nørrebro;94;46;48
;;;Lokaludvalg - Vesterbro;77;33;44
;;;Lokaludvalg - Kgs. Enghave;77;43;34
;;;Lokaludvalg - Valby;113;51;62
;;;Lokaludvalg - Vanløse;50;24;26
;;;Lokaludvalg - Brønshøj-Husum;99;49;50
;;;Lokaludvalg - Bispebjerg;65;28;37
;;;Lokaludvalg - Amager Øst;106;51;55
;;;Lokaludvalg - Amager Vest;251;116;135
;;;Lokaludvalg - Uden for inddeling;1;1;0
;;;Indre By - Middelalderbyen;25;12;13
;;;Indre By - Metropolzonen;8;4;4
;;;Indre By - Nansensgade-kvarteret;10;3;7
;;;Indre By - Øster Farimagsgade-kvarteret;16;7;9
;;;Indre By - Østerport;19;10;9
;;;Indre By - Frederiksstaden;16;4;12
;;;Indre By - Gammelholm og Nyhavn;11;6;5
;;;Christianshavn - Neden Vandet;4;2;2
;;;Christianshavn - Oven Vandet;7;3;4
;;;Christianshavn - Holmen og Refshaleøen;9;6;3
;;;Østerbro - Nord/Komponistkvarteret;10;7;3
;;;Østerbro - Svanemøllen Syd/Øst;21;15;6
;;;Østerbro - Århusgade Nord;5;3;2
;;;Østerbro - Århusgade Syd;16;7;9
;;;Østerbro - Rosenvænget;18;9;9
;;;Østerbro - Ny Ryvang;14;7;7
;;;Østerbro - Nord;16;8;8
;;;Østerbro - Nordhavn;36;18;18
;;;Østerbro - Lyngbyvej Vest;11;8;3
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;11;4;7
;;;Østerbro - Fælled;26;15;11
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;27;10;17
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;23;13;10
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;9;5;4
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;26;13;13
;;;Nørrebro - Haraldsgade-kvarteret;9;5;4
;;;Vesterbro - Vest;22;12;10
;;;Vesterbro - Central;24;8;16
;;;Vesterbro - Øst;8;4;4
;;;Vesterbro - Syd;23;9;14
;;;Kgs. Enghave - Bavnehøj;3;2;1
;;;Kgs. Enghave - Gl. Sydhavn;25;15;10
;;;Kgs. Enghave - Holmene;49;26;23
;;;Valby - Gl. Valby;13;3;10
;;;Valby - Syd;45;22;23
;;;Valby - Ålholm;13;6;7
;;;Valby - Valby Sydvest;31;14;17
;;;Valby - Vigerslev;11;6;5
;;;Vanløse - Jyllingevej Kvarter;18;9;9
;;;Vanløse - Jernbane Allé Kvarter;21;10;11
;;;Vanløse - Sallingvej Kvarter;7;3;4
;;;Vanløse - Grøndals Park Kvarter;4;2;2
;;;Brønshøj-Husum - Husum;31;13;18
;;;Brønshøj-Husum - Husum Nord;31;19;12
;;;Brønshøj-Husum - Tingbjerg;26;13;13
;;;Brønshøj-Husum - Brønshøj;6;1;5
;;;Brønshøj-Husum - Bellahøj;5;3;2
;;;Bispebjerg - Emdrup;10;3;7
;;;Bispebjerg- Ryparken-Lundehus;10;4;6
;;;Bispebjerg - Bispebjerg;8;3;5
;;;Bispebjerg - Utterslev;4;2;2
;;;Bispebjerg - Nordvest;33;16;17
;;;Amager Øst - Amagerbro Øst;37;16;21
;;;Amager Øst - Sundbyøster;16;10;6
;;;Amager Øst - Villakvartererne;27;15;12
;;;Amager Øst - Nordøstamager;26;10;16
;;;Amager Vest - Amagerbro Vest;7;6;1
;;;Amager Vest - Bryggen Syd;9;2;7
;;;Amager Vest - Faste Batteri;16;11;5
;;;Amager Vest - Gamle Bryggen;4;2;2
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);13;5;8
;;;Amager Vest - Kolonihavekvarteret;26;12;14
;;;Amager Vest - Sundbyvester;30;10;20
;;;Amager Vest - Sundholmsvejs kvarteret;31;19;12
;;;Amager Vest - Urbanplanen;7;3;4
;;;Amager Vest - Ørestad City;39;24;15
;;;Amager Vest - Ørestad Syd;69;22;47
;;20-24 years;København i alt;8369;3392;4977
;;;Bydel - Indre By;1012;353;659
;;;Bydel - Østerbro;684;273;411
;;;Bydel - Nørrebro;930;369;561
;;;Bydel - Vesterbro/Kongens Enghave;906;392;514
;;;Bydel - Valby;836;359;477
;;;Bydel - Vanløse;264;115;149
;;;Bydel - Brønshøj-Husum;279;147;132
;;;Bydel - Bispebjerg;671;245;426
;;;Bydel - Amager Øst;689;272;417
;;;Bydel - Amager Vest;2015;830;1185
;;;Bydel - Uden for inddeling;83;37;46
;;;Lokaludvalg - Indre By;875;303;572
;;;Lokaludvalg - Christianshavn;137;50;87
;;;Lokaludvalg - Østerbro;684;273;411
;;;Lokaludvalg - Nørrebro;930;369;561
;;;Lokaludvalg - Vesterbro;465;204;261
;;;Lokaludvalg - Kgs. Enghave;441;188;253
;;;Lokaludvalg - Valby;836;359;477
;;;Lokaludvalg - Vanløse;264;115;149
;;;Lokaludvalg - Brønshøj-Husum;279;147;132
;;;Lokaludvalg - Bispebjerg;671;245;426
;;;Lokaludvalg - Amager Øst;689;272;417
;;;Lokaludvalg - Amager Vest;2015;830;1185
;;;Lokaludvalg - Uden for inddeling;83;37;46
;;;Indre By - Middelalderbyen;323;111;212
;;;Indre By - Metropolzonen;86;36;50
;;;Indre By - Nansensgade-kvarteret;76;29;47
;;;Indre By - Øster Farimagsgade-kvarteret;64;25;39
;;;Indre By - Østerport;37;9;28
;;;Indre By - Frederiksstaden;239;71;168
;;;Indre By - Gammelholm og Nyhavn;50;22;28
;;;Christianshavn - Neden Vandet;30;12;18
;;;Christianshavn - Oven Vandet;34;15;19
;;;Christianshavn - Holmen og Refshaleøen;73;23;50
;;;Østerbro - Nord/Komponistkvarteret;13;5;8
;;;Østerbro - Svanemøllen Syd/Øst;102;41;61
;;;Østerbro - Århusgade Nord;63;14;49
;;;Østerbro - Århusgade Syd;69;22;47
;;;Østerbro - Rosenvænget;65;25;40
;;;Østerbro - Ny Ryvang;55;20;35
;;;Østerbro - Nord;22;9;13
;;;Østerbro - Nordhavn;109;55;54
;;;Østerbro - Lyngbyvej Vest;38;18;20
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;66;25;41
;;;Østerbro - Fælled;82;39;43
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;124;49;75
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;201;78;123
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;112;41;71
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;313;140;173
;;;Nørrebro - Haraldsgade-kvarteret;180;61;119
;;;Vesterbro - Vest;94;49;45
;;;Vesterbro - Central;162;58;104
;;;Vesterbro - Øst;89;40;49
;;;Vesterbro - Syd;120;57;63
;;;Kgs. Enghave - Bavnehøj;30;14;16
;;;Kgs. Enghave - Gl. Sydhavn;166;71;95
;;;Kgs. Enghave - Holmene;245;103;142
;;;Valby - Gl. Valby;107;48;59
;;;Valby - Syd;203;78;125
;;;Valby - Ålholm;51;26;25
;;;Valby - Valby Sydvest;424;176;248
;;;Valby - Vigerslev;51;31;20
;;;Vanløse - Jyllingevej Kvarter;72;31;41
;;;Vanløse - Jernbane Allé Kvarter;91;43;48
;;;Vanløse - Sallingvej Kvarter;52;19;33
;;;Vanløse - Grøndals Park Kvarter;49;22;27
;;;Brønshøj-Husum - Husum;67;32;35
;;;Brønshøj-Husum - Husum Nord;65;36;29
;;;Brønshøj-Husum - Tingbjerg;98;56;42
;;;Brønshøj-Husum - Brønshøj;40;17;23
;;;Brønshøj-Husum - Bellahøj;9;6;3
;;;Bispebjerg - Emdrup;89;16;73
;;;Bispebjerg- Ryparken-Lundehus;50;18;32
;;;Bispebjerg - Bispebjerg;14;6;8
;;;Bispebjerg - Utterslev;21;11;10
;;;Bispebjerg - Nordvest;497;194;303
;;;Amager Øst - Amagerbro Øst;259;100;159
;;;Amager Øst - Sundbyøster;85;36;49
;;;Amager Øst - Villakvartererne;175;66;109
;;;Amager Øst - Nordøstamager;170;70;100
;;;Amager Vest - Amagerbro Vest;61;19;42
