Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Amager Vest - Sundholmsvejs kvarteret;7409;3538;3871
;;;Amager Vest - Urbanplanen;2682;1236;1446
;;;Amager Vest - Ørestad City;4979;2700;2279
;;;Amager Vest - Ørestad Syd;7325;3876;3449
;;Western citizenships;København i alt;76308;37616;38692
;;;Bydel - Indre By;8586;4073;4513
;;;Bydel - Østerbro;8975;4256;4719
;;;Bydel - Nørrebro;8165;3952;4213
;;;Bydel - Vesterbro/Kongens Enghave;11135;5640;5495
;;;Bydel - Valby;6429;3216;3213
;;;Bydel - Vanløse;3088;1563;1525
;;;Bydel - Brønshøj-Husum;3004;1504;1500
;;;Bydel - Bispebjerg;5961;2953;3008
;;;Bydel - Amager Øst;7211;3466;3745
;;;Bydel - Amager Vest;12562;6308;6254
;;;Lokaludvalg - Indre By;6900;3243;3657
;;;Lokaludvalg - Christianshavn;1686;830;856
;;;Lokaludvalg - Østerbro;8975;4256;4719
;;;Lokaludvalg - Nørrebro;8165;3952;4213
;;;Lokaludvalg - Vesterbro;5966;3064;2902
;;;Lokaludvalg - Kgs. Enghave;5169;2576;2593
;;;Lokaludvalg - Valby;6429;3216;3213
;;;Lokaludvalg - Vanløse;3088;1563;1525
;;;Lokaludvalg - Brønshøj-Husum;3004;1504;1500
;;;Lokaludvalg - Bispebjerg;5961;2953;3008
;;;Lokaludvalg - Amager Øst;7211;3466;3745
;;;Lokaludvalg - Amager Vest;12562;6308;6254
;;;Indre By - Middelalderbyen;1910;914;996
;;;Indre By - Metropolzonen;575;281;294
;;;Indre By - Nansensgade-kvarteret;808;422;386
;;;Indre By - Øster Farimagsgade-kvarteret;840;385;455
;;;Indre By - Østerport;575;276;299
;;;Indre By - Frederiksstaden;1582;675;907
;;;Indre By - Gammelholm og Nyhavn;610;290;320
;;;Christianshavn - Neden Vandet;556;282;274
;;;Christianshavn - Oven Vandet;667;312;355
;;;Christianshavn - Holmen og Refshaleøen;463;236;227
;;;Østerbro - Nord/Komponistkvarteret;374;161;213
;;;Østerbro - Svanemøllen Syd/Øst;1145;535;610
;;;Østerbro - Århusgade Nord;911;447;464
;;;Østerbro - Århusgade Syd;1075;508;567
;;;Østerbro - Rosenvænget;1068;494;574
;;;Østerbro - Ny Ryvang;230;98;132
;;;Østerbro - Nord;572;242;330
;;;Østerbro - Nordhavn;1136;595;541
